condition,container,cpu_cores,memory_mib,namespace,pod,rep,role,run_id,scale
sidecar,fortio-server,0.006654481293682335,8.62109375,idyn-mesh-scale45-sc,fortio-server-5446fcf6f6-bznng,2,server,mesh-overhead-20260523T165749Z,scale45
sidecar,istio-proxy,0.01556372349448685,34.91015625,idyn-mesh-scale45-sc,fortio-server-5446fcf6f6-bznng,2,server,mesh-overhead-20260523T165749Z,scale45
sidecar,fortio-client,,4.40234375,idyn-mesh-scale45-sc,fortio-client-7f7c96d879-lhsfd,2,client,mesh-overhead-20260523T165749Z,scale45
sidecar,istio-proxy,0.016660595290134576,33.7890625,idyn-mesh-scale45-sc,fortio-client-7f7c96d879-lhsfd,3,client,mesh-overhead-20260523T165749Z,scale45
sidecar,fortio-client,0.0037903999818046067,10.984375,idyn-mesh-scale45-sc,fortio-client-7f7c96d879-lhsfd,3,client,mesh-overhead-20260523T165749Z,scale45
sidecar,fortio-server,0.0051571442141259026,8.29296875,idyn-mesh-scale45-sc,fortio-server-5446fcf6f6-bznng,3,server,mesh-overhead-20260523T165749Z,scale45
sidecar,istio-proxy,0.02271558704453442,35.7890625,idyn-mesh-scale45-sc,fortio-server-5446fcf6f6-bznng,3,server,mesh-overhead-20260523T165749Z,scale45
sidecar,istio-proxy,0.028375377806563046,33.94921875,idyn-mesh-scale45-sc,fortio-client-7f7c96d879-lhsfd,4,client,mesh-overhead-20260523T165749Z,scale45
sidecar,fortio-client,0.006390303457586029,10.87890625,idyn-mesh-scale45-sc,fortio-client-7f7c96d879-lhsfd,4,client,mesh-overhead-20260523T165749Z,scale45
sidecar,fortio-server,0.007993765623588226,8.4140625,idyn-mesh-scale45-sc,fortio-server-5446fcf6f6-bznng,4,server,mesh-overhead-20260523T165749Z,scale45
sidecar,istio-proxy,0.017379587848130366,35.765625,idyn-mesh-scale45-sc,fortio-server-5446fcf6f6-bznng,4,server,mesh-overhead-20260523T165749Z,scale45
sidecar,istio-proxy,0.018330456972098168,34.0546875,idyn-mesh-scale45-sc,fortio-client-7f7c96d879-lhsfd,5,client,mesh-overhead-20260523T165749Z,scale45
sidecar,fortio-client,0.005193733333333336,11.07421875,idyn-mesh-scale45-sc,fortio-client-7f7c96d879-lhsfd,5,client,mesh-overhead-20260523T165749Z,scale45
sidecar,fortio-server,0.0033571705331930718,8.35546875,idyn-mesh-scale45-sc,fortio-server-5446fcf6f6-bznng,5,server,mesh-overhead-20260523T165749Z,scale45
sidecar,istio-proxy,0.02753643750000001,36.06640625,idyn-mesh-scale45-sc,fortio-server-5446fcf6f6-bznng,5,server,mesh-overhead-20260523T165749Z,scale45
