NAME                           TYPE           CLUSTER-IP       EXTERNAL-IP   PORT(S)           AGE   SELECTOR
ts-security-mongo              ClusterIP      10.101.115.47    <none>        27017/TCP         15m   app=ts-security-mongo
ts-security-service            ClusterIP      10.99.165.56     <none>        11188/TCP         15m   app=ts-security-service
ts-station-mongo               ClusterIP      10.110.3.31      <none>        27017/TCP         15m   app=ts-station-mongo
ts-station-service             ClusterIP      10.101.77.170    <none>        12345/TCP         15m   app=ts-station-service
ts-ticket-office-mongo         ClusterIP      10.102.36.251    <none>        27017/TCP         15m   app=ts-ticket-office-mongo
ts-ticket-office-service       ClusterIP      10.97.154.155    <none>        16108/TCP         15m   app=ts-ticket-office-service
ts-ticketinfo-service          ClusterIP      10.104.167.223   <none>        15681/TCP         15m   app=ts-ticketinfo-service
ts-train-mongo                 ClusterIP      10.96.71.9       <none>        27017/TCP         15m   app=ts-train-mongo
ts-train-service               ClusterIP      10.106.144.169   <none>        14567/TCP         15m   app=ts-train-service
ts-travel-mongo                ClusterIP      10.105.81.58     <none>        27017/TCP         15m   app=ts-travel-mongo
ts-travel-plan-service         ClusterIP      10.110.101.39    <none>        14322/TCP         15m   app=ts-travel-plan-service
ts-travel-service              ClusterIP      10.99.198.76     <none>        12346/TCP         15m   app=ts-travel-service
ts-travel2-mongo               ClusterIP      10.97.149.28     <none>        27017/TCP         15m   app=ts-travel2-mongo
ts-travel2-service             ClusterIP      10.104.113.184   <none>        16346/TCP         15m   app=ts-travel2-service
ts-ui-dashboard                NodePort       10.110.153.172   <none>        8080:32677/TCP    15m   app=ts-ui-dashboard
ts-user-mongo                  ClusterIP      10.103.228.233   <none>        27017/TCP         15m   app=ts-user-mongo
ts-user-service                ClusterIP      10.104.46.198    <none>        12342/TCP         15m   app=ts-user-service
ts-verification-code-service   ClusterIP      10.110.144.217   <none>        15678/TCP         15m   app=ts-verification-code-service
ts-voucher-mysql               ClusterIP      10.100.29.70     <none>        3306/TCP          15m   app=ts-voucher-mysql
ts-voucher-service             ClusterIP      10.96.177.77     <none>        16101/TCP         15m   app=ts-voucher-service
