NAME                           READY   UP-TO-DATE   AVAILABLE   AGE   CONTAINERS                     IMAGES                                          SELECTOR
ts-execute-service             1/1     1            1           15m   ts-execute-service             codewisdom/ts-execute-service:0.0.4             app=ts-execute-service
ts-food-map-mongo              1/1     1            1           15m   ts-food-map-mongo              mongo                                           app=ts-food-map-mongo
ts-food-map-service            0/1     1            0           15m   ts-food-map-service            codewisdom/ts-food-map-service:0.0.4            app=ts-food-map-service
ts-food-mongo                  1/1     1            1           15m   ts-food-mongo                  mongo                                           app=ts-food-mongo
ts-food-service                1/1     1            1           15m   ts-food-service                codewisdom/ts-food-service:0.0.4                app=ts-food-service
ts-inside-payment-mongo        1/1     1            1           15m   ts-inside-payment-mongo        mongo                                           app=ts-inside-payment-mongo
ts-inside-payment-service      0/1     1            0           15m   ts-inside-payment-service      codewisdom/ts-inside-payment-service:0.0.4      app=ts-inside-payment-service
ts-news-service                1/1     1            1           15m   ts-news-service                codewisdom/ts-news-service:0.0.4                app=ts-news-service
ts-notification-service        1/1     1            1           15m   ts-notification-service        codewisdom/ts-notification-service:0.0.4        app=ts-notification-service
ts-order-mongo                 1/1     1            1           15m   ts-order-mongo                 mongo                                           app=ts-order-mongo
ts-order-other-mongo           1/1     1            1           15m   ts-order-other-mongo           mongo                                           app=ts-order-other-mongo
ts-order-other-service         0/1     1            0           15m   ts-order-other-service         codewisdom/ts-order-other-service:0.0.4         app=ts-order-other-service
ts-order-service               0/1     1            0           15m   ts-order-service               codewisdom/ts-order-service:0.0.4               app=ts-order-service
ts-payment-mongo               1/1     1            1           15m   ts-payment-mongo               mongo                                           app=ts-payment-mongo
ts-payment-service             0/1     1            0           15m   ts-payment-service             codewisdom/ts-payment-service:0.0.4             app=ts-payment-service
ts-preserve-other-service      1/1     1            1           15m   ts-preserve-other-service      codewisdom/ts-preserve-other-service:0.0.4      app=ts-preserve-other-service
ts-preserve-service            1/1     1            1           15m   ts-preserve-service            codewisdom/ts-preserve-service:0.0.4            app=ts-preserve-service
ts-price-mongo                 1/1     1            1           15m   ts-price-mongo                 mongo                                           app=ts-price-mongo
ts-price-service               0/1     1            0           15m   ts-price-service               codewisdom/ts-price-service:0.0.4               app=ts-price-service
ts-rebook-service              1/1     1            1           15m   ts-rebook-service              codewisdom/ts-rebook-service:0.0.4              app=ts-rebook-service
ts-route-mongo                 1/1     1            1           15m   ts-route-mongo                 mongo                                           app=ts-route-mongo
ts-route-plan-service          1/1     1            1           15m   ts-route-plan-service          codewisdom/ts-route-plan-service:0.0.4          app=ts-route-plan-service
ts-route-service               0/1     1            0           15m   ts-route-service               codewisdom/ts-route-service:0.0.4               app=ts-route-service
ts-seat-service                1/1     1            1           15m   ts-seat-service                codewisdom/ts-seat-service:0.0.4                app=ts-seat-service
ts-security-mongo              1/1     1            1           15m   ts-security-mongo              mongo                                           app=ts-security-mongo
ts-security-service            0/1     1            0           15m   ts-security-service            codewisdom/ts-security-service:0.0.4            app=ts-security-service
ts-station-mongo               1/1     1            1           15m   ts-station-mongo               mongo                                           app=ts-station-mongo
ts-station-service             0/1     1            0           15m   ts-station-service             codewisdom/ts-station-service:0.0.4             app=ts-station-service
ts-ticket-office-mongo         1/1     1            1           15m   ts-ticket-office-mongo         mongo                                           app=ts-ticket-office-mongo
ts-ticket-office-service       1/1     1            1           15m   ts-ticket-office-service       codewisdom/ts-ticket-office-service:0.0.4       app=ts-ticket-office-service
ts-ticketinfo-service          1/1     1            1           15m   ts-ticketinfo-service          codewisdom/ts-ticketinfo-service:0.0.4          app=ts-ticketinfo-service
ts-train-mongo                 1/1     1            1           15m   ts-train-mongo                 mongo                                           app=ts-train-mongo
ts-train-service               0/1     1            0           15m   ts-train-service               codewisdom/ts-train-service:0.0.4               app=ts-train-service
ts-travel-mongo                1/1     1            1           15m   ts-travel-mongo                mongo                                           app=ts-travel-mongo
ts-travel-plan-service         1/1     1            1           15m   ts-travel-plan-service         codewisdom/ts-travel-plan-service:0.0.4         app=ts-travel-plan-service
ts-travel-service              0/1     1            0           15m   ts-travel-service              codewisdom/ts-travel-service:0.0.4              app=ts-travel-service
ts-travel2-mongo               1/1     1            1           15m   ts-travel2-mongo               mongo                                           app=ts-travel2-mongo
ts-travel2-service             0/1     1            0           15m   ts-travel2-service             codewisdom/ts-travel2-service:0.0.4             app=ts-travel2-service
ts-ui-dashboard                1/1     1            1           15m   ts-ui-dashboard                codewisdom/ts-ui-dashboard:0.0.4                app=ts-ui-dashboard
ts-user-mongo                  1/1     1            1           15m   ts-user-mongo                  mongo                                           app=ts-user-mongo
ts-user-service                0/1     1            0           15m   ts-user-service                codewisdom/ts-user-service:0.0.4                app=ts-user-service
ts-verification-code-service   1/1     1            1           15m   ts-verification-code-service   codewisdom/ts-verification-code-service:0.0.4   app=ts-verification-code-service
ts-voucher-mysql               1/1     1            1           15m   ts-voucher-mysql               mysql:5.6.35                                    app=ts-voucher-mysql
ts-voucher-service             1/1     1            1           15m   ts-voucher-service             codewisdom/ts-voucher-service:0.0.4             app=ts-voucher-service
