benchmark,run_id,namespace,scale,replica_level,replica_config,workload_mode,repeat,policy,policy_display_name,step,time_s,evidence_type,request_type,traffic_stress,weighted_edge_distance,active_edge_count,request_mix_entropy,top3_hotspot_churn,traffic_stress_gini,traffic_stress_skew,migration_count,policy_decision_time_ms,gda_query_latency_ms,gda_build_time_ms,gda_total_time_ms,gda_nodes,gda_edges,gda_query_count,latency_ms,p50_ms,p95_ms,p99_ms,throughput_rps,error_rate,sla_ms,sla_pressure,sla_violation_ratio,worker_nodes_selected,actual_app_pods,ready_app_pods,non_empty_worker_nodes,pod_node_occupancy_ratio,pod_restarts,total_pods,cluster_cpu_utilization,cluster_memory_utilization,top_node_cpu_utilization
moe-serving,moe-longmix-stageB-scale45-replica5-linear-steps500-20260612T141947Z,idyn-moe-serving,scale45,replica5,aggregator_replicas=5;cache_replicas=1;expert_count=6;replicas_per_expert=5;router_replicas=5;state_replicas=1;total_app_pods=51,linear,,policy3,Policy 3,4,0.400,replay,mixed,0.962272,0.030430,9,1.676749,0.000000,0.447952,0.294240,,,0.000000,0.024156,0.024156,8,9,0,63.487181,63.487181,63.487181,63.487181,90.000000,0.000000,109.295838,0.580875,0.000000,45,51,51,45,1.000000,,51,,,
moe-serving,moe-longmix-stageB-scale45-replica5-linear-steps500-20260612T141947Z,idyn-moe-serving,scale45,replica5,aggregator_replicas=5;cache_replicas=1;expert_count=6;replicas_per_expert=5;router_replicas=5;state_replicas=1;total_app_pods=51,linear,,kubernetes-default,K8s default,5,0.500,replay,mixed,0.936001,0.025422,9,1.686367,0.000000,0.446397,0.294695,,,0.000000,0.021982,0.021982,8,9,0,65.946560,65.946560,65.946560,65.946560,90.000000,0.000000,109.534944,0.602060,0.000000,45,51,51,45,1.000000,,51,,,
moe-serving,moe-longmix-stageB-scale45-replica5-linear-steps500-20260612T141947Z,idyn-moe-serving,scale45,replica5,aggregator_replicas=5;cache_replicas=1;expert_count=6;replicas_per_expert=5;router_replicas=5;state_replicas=1;total_app_pods=51,linear,,cga,CGA,5,0.500,replay,mixed,0.936001,0.025422,9,1.686367,0.000000,0.446397,0.294695,,,0.000000,0.021982,0.021982,8,9,0,60.034934,60.034934,60.034934,60.034934,90.000000,0.000000,109.534944,0.548089,0.000000,45,51,51,45,1.000000,,51,,,
moe-serving,moe-longmix-stageB-scale45-replica5-linear-steps500-20260612T141947Z,idyn-moe-serving,scale45,replica5,aggregator_replicas=5;cache_replicas=1;expert_count=6;replicas_per_expert=5;router_replicas=5;state_replicas=1;total_app_pods=51,linear,,hda,HDA,5,0.500,replay,mixed,0.936001,0.025422,9,1.686367,0.000000,0.446397,0.294695,,,0.000000,0.021982,0.021982,8,9,0,52.485742,52.485742,52.485742,52.485742,90.000000,0.000000,109.534944,0.479169,0.000000,45,51,51,45,1.000000,,51,,,
moe-serving,moe-longmix-stageB-scale45-replica5-linear-steps500-20260612T141947Z,idyn-moe-serving,scale45,replica5,aggregator_replicas=5;cache_replicas=1;expert_count=6;replicas_per_expert=5;router_replicas=5;state_replicas=1;total_app_pods=51,linear,,policy2,Policy 2,5,0.500,replay,mixed,0.936001,0.025422,9,1.686367,0.000000,0.446397,0.294695,,,0.000000,0.021982,0.021982,8,9,0,59.924935,59.924935,59.924935,59.924935,90.000000,0.000000,109.534944,0.547085,0.000000,45,51,51,45,1.000000,,51,,,
moe-serving,moe-longmix-stageB-scale45-replica5-linear-steps500-20260612T141947Z,idyn-moe-serving,scale45,replica5,aggregator_replicas=5;cache_replicas=1;expert_count=6;replicas_per_expert=5;router_replicas=5;state_replicas=1;total_app_pods=51,linear,,policy3,Policy 3,5,0.500,replay,mixed,0.936001,0.025422,9,1.686367,0.000000,0.446397,0.294695,,,0.000000,0.021982,0.021982,8,9,0,54.521987,54.521987,54.521987,54.521987,90.000000,0.000000,109.534944,0.497759,0.000000,45,51,51,45,1.000000,,51,,,
moe-serving,moe-longmix-stageB-scale45-replica5-linear-steps500-20260612T141947Z,idyn-moe-serving,scale45,replica5,aggregator_replicas=5;cache_replicas=1;expert_count=6;replicas_per_expert=5;router_replicas=5;state_replicas=1;total_app_pods=51,linear,,kubernetes-default,K8s default,6,0.600,replay,mixed,0.987747,0.054208,9,1.695831,0.000000,0.444852,0.295132,,,0.000000,0.014467,0.014467,8,9,0,66.181157,66.181157,66.181157,66.181157,90.000000,0.000000,109.773443,0.602889,0.000000,45,51,51,45,1.000000,,51,,,
moe-serving,moe-longmix-stageB-scale45-replica5-linear-steps500-20260612T141947Z,idyn-moe-serving,scale45,replica5,aggregator_replicas=5;cache_replicas=1;expert_count=6;replicas_per_expert=5;router_replicas=5;state_replicas=1;total_app_pods=51,linear,,cga,CGA,6,0.600,replay,mixed,0.987747,0.054208,9,1.695831,0.000000,0.444852,0.295132,,,0.000000,0.014467,0.014467,8,9,0,58.475946,58.475946,58.475946,58.475946,90.000000,0.000000,109.773443,0.532697,0.000000,45,51,51,45,1.000000,,51,,,
moe-serving,moe-longmix-stageB-scale45-replica5-linear-steps500-20260612T141947Z,idyn-moe-serving,scale45,replica5,aggregator_replicas=5;cache_replicas=1;expert_count=6;replicas_per_expert=5;router_replicas=5;state_replicas=1;total_app_pods=51,linear,,hda,HDA,6,0.600,replay,mixed,0.987747,0.054208,9,1.695831,0.000000,0.444852,0.295132,,,0.000000,0.014467,0.014467,8,9,0,63.146874,63.146874,63.146874,63.146874,90.000000,0.000000,109.773443,0.575247,0.000000,45,51,51,45,1.000000,,51,,,
moe-serving,moe-longmix-stageB-scale45-replica5-linear-steps500-20260612T141947Z,idyn-moe-serving,scale45,replica5,aggregator_replicas=5;cache_replicas=1;expert_count=6;replicas_per_expert=5;router_replicas=5;state_replicas=1;total_app_pods=51,linear,,policy2,Policy 2,6,0.600,replay,mixed,0.987747,0.054208,9,1.695831,0.000000,0.444852,0.295132,,,0.000000,0.014467,0.014467,8,9,0,64.227232,64.227232,64.227232,64.227232,90.000000,0.000000,109.773443,0.585089,0.000000,45,51,51,45,1.000000,,51,,,
moe-serving,moe-longmix-stageB-scale45-replica5-linear-steps500-20260612T141947Z,idyn-moe-serving,scale45,replica5,aggregator_replicas=5;cache_replicas=1;expert_count=6;replicas_per_expert=5;router_replicas=5;state_replicas=1;total_app_pods=51,linear,,policy3,Policy 3,6,0.600,replay,mixed,0.987747,0.054208,9,1.695831,0.000000,0.444852,0.295132,,,0.000000,0.014467,0.014467,8,9,0,59.291216,59.291216,59.291216,59.291216,90.000000,0.000000,109.773443,0.540123,0.000000,45,51,51,45,1.000000,,51,,,
moe-serving,moe-longmix-stageB-scale45-replica5-linear-steps500-20260612T141947Z,idyn-moe-serving,scale45,replica5,aggregator_replicas=5;cache_replicas=1;expert_count=6;replicas_per_expert=5;router_replicas=5;state_replicas=1;total_app_pods=51,linear,,kubernetes-default,K8s default,7,0.700,replay,mixed,0.930631,0.056020,9,1.705146,0.000000,0.443317,0.295551,,,0.000000,0.013937,0.013937,8,9,0,68.386591,68.386591,68.386591,68.386591,90.000000,0.000000,110.011334,0.621632,0.000000,45,51,51,45,1.000000,,51,,,
moe-serving,moe-longmix-stageB-scale45-replica5-linear-steps500-20260612T141947Z,idyn-moe-serving,scale45,replica5,aggregator_replicas=5;cache_replicas=1;expert_count=6;replicas_per_expert=5;router_replicas=5;state_replicas=1;total_app_pods=51,linear,,cga,CGA,7,0.700,replay,mixed,0.930631,0.056020,9,1.705146,0.000000,0.443317,0.295551,,,0.000000,0.013937,0.013937,8,9,0,60.685834,60.685834,60.685834,60.685834,90.000000,0.000000,110.011334,0.551633,0.000000,45,51,51,45,1.000000,,51,,,
moe-serving,moe-longmix-stageB-scale45-replica5-linear-steps500-20260612T141947Z,idyn-moe-serving,scale45,replica5,aggregator_replicas=5;cache_replicas=1;expert_count=6;replicas_per_expert=5;router_replicas=5;state_replicas=1;total_app_pods=51,linear,,hda,HDA,7,0.700,replay,mixed,0.930631,0.056020,9,1.705146,0.000000,0.443317,0.295551,,,0.000000,0.013937,0.013937,8,9,0,58.077774,58.077774,58.077774,58.077774,90.000000,0.000000,110.011334,0.527925,0.000000,45,51,51,45,1.000000,,51,,,
