policy,policy_display_name,step,time_s,evidence_type,traffic_stress,weighted_edge_distance,active_edge_count,request_mix_entropy,top3_hotspot_churn,traffic_stress_gini,traffic_stress_skew,migration_count,policy_decision_time_ms,latency_ms,sla_ms,sla_pressure,sla_violation_ratio
cga,CGA,28,140.000,replay/model/control-plane,1.056411,0.039778,14,1.181291,0.000000,0.451198,1.237382,,,94.368333,127.500000,0.740144,0.000000
hda,HDA,28,140.000,replay/model/control-plane,1.056411,0.039778,14,1.181291,0.000000,0.451198,1.237382,,,92.130697,127.500000,0.722594,0.000000
kubernetes-default,K8s default,29,145.000,replay/model/control-plane,1.046261,0.009608,14,1.181291,0.000000,0.451198,1.237382,,,103.114929,127.500000,0.808745,0.000000
cga,CGA,29,145.000,replay/model/control-plane,1.046261,0.009608,14,1.181291,0.000000,0.451198,1.237382,,,96.595040,127.500000,0.757608,0.000000
hda,HDA,29,145.000,replay/model/control-plane,1.046261,0.009608,14,1.181291,0.000000,0.451198,1.237382,,,92.075513,127.500000,0.722161,0.000000
kubernetes-default,K8s default,30,150.000,replay/model/control-plane,0.999268,0.044914,14,1.181291,0.000000,0.451198,1.237382,,,101.739392,127.500000,0.797956,0.000000
cga,CGA,30,150.000,replay/model/control-plane,0.999268,0.044914,14,1.181291,0.000000,0.451198,1.237382,,,92.299771,127.500000,0.723920,0.000000
hda,HDA,30,150.000,replay/model/control-plane,0.999268,0.044914,14,1.181291,0.000000,0.451198,1.237382,,,89.811030,127.500000,0.704400,0.000000
kubernetes-default,K8s default,31,155.000,replay/model/control-plane,0.985399,0.013880,14,1.181291,0.000000,0.451198,1.237382,,,96.413772,127.500000,0.756186,0.000000
cga,CGA,31,155.000,replay/model/control-plane,0.985399,0.013880,14,1.181291,0.000000,0.451198,1.237382,,,95.222941,127.500000,0.746847,0.000000
hda,HDA,31,155.000,replay/model/control-plane,0.985399,0.013880,14,1.181291,0.000000,0.451198,1.237382,,,92.024043,127.500000,0.721757,0.000000
kubernetes-default,K8s default,32,160.000,replay/model/control-plane,1.049918,0.061452,14,1.181291,0.000000,0.451198,1.237382,,,103.070667,127.500000,0.808397,0.000000
cga,CGA,32,160.000,replay/model/control-plane,1.049918,0.061452,14,1.181291,0.000000,0.451198,1.237382,,,99.832303,127.500000,0.782998,0.000000
hda,HDA,32,160.000,replay/model/control-plane,1.049918,0.061452,14,1.181291,0.000000,0.451198,1.237382,,,93.669137,127.500000,0.734660,0.000000
kubernetes-default,K8s default,33,165.000,replay/model/control-plane,1.066408,0.031258,15,1.181291,0.000000,0.464986,1.324936,,,102.099147,127.500000,0.800778,0.000000
cga,CGA,33,165.000,replay/model/control-plane,1.066408,0.031258,15,1.181291,0.000000,0.464986,1.324936,,,100.805686,127.500000,0.790633,0.000000
hda,HDA,33,165.000,replay/model/control-plane,1.066408,0.031258,15,1.181291,0.000000,0.464986,1.324936,,,90.730516,127.500000,0.711612,0.000000
kubernetes-default,K8s default,34,170.000,replay/model/control-plane,0.971749,0.103383,14,1.181291,0.000000,0.451198,1.237382,,,103.448604,127.500000,0.811362,0.000000
cga,CGA,34,170.000,replay/model/control-plane,0.971749,0.103383,14,1.181291,0.000000,0.451198,1.237382,,,98.153843,127.500000,0.769834,0.000000
hda,HDA,34,170.000,replay/model/control-plane,0.971749,0.103383,14,1.181291,0.000000,0.451198,1.237382,,,91.329010,127.500000,0.716306,0.000000
kubernetes-default,K8s default,35,175.000,replay/model/control-plane,1.043388,0.068659,14,1.181291,0.000000,0.451198,1.237382,,,103.931988,127.500000,0.815153,0.000000
cga,CGA,35,175.000,replay/model/control-plane,1.043388,0.068659,14,1.181291,0.000000,0.451198,1.237382,,,94.910484,127.500000,0.744396,0.000000
hda,HDA,35,175.000,replay/model/control-plane,1.043388,0.068659,14,1.181291,0.000000,0.451198,1.237382,,,89.151885,127.500000,0.699230,0.000000
kubernetes-default,K8s default,36,180.000,replay/model/control-plane,1.057858,0.013679,14,1.181291,0.000000,0.451198,1.237382,,,101.331614,127.500000,0.794758,0.000000
cga,CGA,36,180.000,replay/model/control-plane,1.057858,0.013679,14,1.181291,0.000000,0.451198,1.237382,,,96.037178,127.500000,0.753233,0.000000
hda,HDA,36,180.000,replay/model/control-plane,1.057858,0.013679,14,1.181291,0.000000,0.451198,1.237382,,,90.530773,127.500000,0.710045,0.000000
kubernetes-default,K8s default,37,185.000,replay/model/control-plane,1.037245,0.019486,14,1.181291,0.000000,0.451198,1.237382,,,101.861314,127.500000,0.798912,0.000000
cga,CGA,37,185.000,replay/model/control-plane,1.037245,0.019486,14,1.181291,0.000000,0.451198,1.237382,,,97.517934,127.500000,0.764847,0.000000
hda,HDA,37,185.000,replay/model/control-plane,1.037245,0.019486,14,1.181291,0.000000,0.451198,1.237382,,,89.567711,127.500000,0.702492,0.000000
kubernetes-default,K8s default,38,190.000,replay/model/control-plane,0.995041,0.040688,14,1.181291,0.000000,0.451198,1.237382,,,104.374557,127.500000,0.818624,0.000000
