mode,step,p_index,p_setCurrency,p_browseProduct,p_addToCart,p_viewCart,p_checkout
step,41,0.015789473684210523,0.731578947368421,0.15789473684210525,0.03157894736842105,0.047368421052631574,0.015789473684210523
step,42,0.015789473684210523,0.731578947368421,0.15789473684210525,0.03157894736842105,0.047368421052631574,0.015789473684210523
step,43,0.015789473684210523,0.731578947368421,0.15789473684210525,0.03157894736842105,0.047368421052631574,0.015789473684210523
step,44,0.015789473684210523,0.731578947368421,0.15789473684210525,0.03157894736842105,0.047368421052631574,0.015789473684210523
step,45,0.015789473684210523,0.731578947368421,0.15789473684210525,0.03157894736842105,0.047368421052631574,0.015789473684210523
step,46,0.015789473684210523,0.731578947368421,0.15789473684210525,0.03157894736842105,0.047368421052631574,0.015789473684210523
step,47,0.015789473684210523,0.731578947368421,0.15789473684210525,0.03157894736842105,0.047368421052631574,0.015789473684210523
step,48,0.015789473684210523,0.731578947368421,0.15789473684210525,0.03157894736842105,0.047368421052631574,0.015789473684210523
step,49,0.015789473684210523,0.731578947368421,0.15789473684210525,0.03157894736842105,0.047368421052631574,0.015789473684210523
step,50,0.015789473684210523,0.731578947368421,0.15789473684210525,0.03157894736842105,0.047368421052631574,0.015789473684210523
step,51,0.015789473684210523,0.731578947368421,0.15789473684210525,0.03157894736842105,0.047368421052631574,0.015789473684210523
step,52,0.015789473684210523,0.731578947368421,0.15789473684210525,0.03157894736842105,0.047368421052631574,0.015789473684210523
step,53,0.015789473684210523,0.731578947368421,0.15789473684210525,0.03157894736842105,0.047368421052631574,0.015789473684210523
