step,time_s,evidence_type,gda_query_latency_ms,gda_build_time_ms,gda_total_time_ms,gda_nodes,gda_edges,gda_query_count
186,18.600,replay,0.000000,0.017062,0.017062,9,12,0
187,18.700,replay,0.000000,0.013916,0.013916,9,12,0
188,18.800,replay,0.000000,0.016691,0.016691,9,12,0
189,18.900,replay,0.000000,0.018264,0.018264,9,12,0
190,19.000,replay,0.000000,0.013968,0.013968,9,12,0
191,19.100,replay,0.000000,0.013305,0.013305,9,12,0
192,19.200,replay,0.000000,0.013845,0.013845,9,12,0
193,19.300,replay,0.000000,0.013916,0.013916,9,13,0
194,19.400,replay,0.000000,0.018466,0.018466,9,12,0
195,19.500,replay,0.000000,0.013456,0.013456,9,13,0
196,19.600,replay,0.000000,0.014989,0.014989,9,13,0
197,19.700,replay,0.000000,0.018886,0.018886,9,13,0
198,19.800,replay,0.000000,0.017492,0.017492,9,13,0
199,19.900,replay,0.000000,0.014226,0.014226,9,13,0
