service_count,repetition,mode,scenario,vertex_count,active_edges,graph_edges,replicas,scrape_interval_seconds,query_count,prometheus_query_latency_ms,graph_build_wall_ms,graph_build_cpu_ms,peak_python_memory_mib,dense_pairwise_enabled,dense_skipped_reason
10000,2,sparse-aggregate,synthetic_control_plane,10000,40000,40000,1,15.0,2,0.0,367.605655,367.560103,23.675232,True,
10000,3,sparse-aggregate,synthetic_control_plane,10000,40000,40000,1,15.0,2,0.0,352.926545,352.893351,23.675209,True,
10000,4,sparse-aggregate,synthetic_control_plane,10000,40000,40000,1,15.0,2,0.0,378.480759,378.446204,23.674995,True,
10000,5,sparse-aggregate,synthetic_control_plane,10000,40000,40000,1,15.0,2,0.0,360.924299,360.833981,23.675209,True,
10000,6,sparse-aggregate,synthetic_control_plane,10000,40000,40000,1,15.0,2,0.0,411.007193,410.955815,23.674995,True,
20000,0,sparse-aggregate,synthetic_control_plane,20000,80000,80000,1,15.0,2,0.0,931.438587,931.340558,48.354103,True,
20000,1,sparse-aggregate,synthetic_control_plane,20000,80000,80000,1,15.0,2,0.0,871.408905,871.284637,48.353966,True,
20000,2,sparse-aggregate,synthetic_control_plane,20000,80000,80000,1,15.0,2,0.0,777.192812,777.087097,48.354202,True,
20000,3,sparse-aggregate,synthetic_control_plane,20000,80000,80000,1,15.0,2,0.0,913.1356,913.05418,48.353966,True,
20000,4,sparse-aggregate,synthetic_control_plane,20000,80000,80000,1,15.0,2,0.0,807.234456,807.138846,48.354179,True,
20000,5,sparse-aggregate,synthetic_control_plane,20000,80000,80000,1,15.0,2,0.0,904.64756,904.476876,48.353966,True,
20000,6,sparse-aggregate,synthetic_control_plane,20000,80000,80000,1,15.0,2,0.0,766.718612,766.642833,48.353966,True,
50000,0,sparse-aggregate,synthetic_control_plane,50000,200000,200000,1,15.0,2,0.0,2476.198098,2475.829082,121.0383,True,
50000,1,sparse-aggregate,synthetic_control_plane,50000,200000,200000,1,15.0,2,0.0,2567.950046,2567.770579,121.038399,True,
50000,2,sparse-aggregate,synthetic_control_plane,50000,200000,200000,1,15.0,2,0.0,2338.674175,2338.380761,121.038399,True,
50000,3,sparse-aggregate,synthetic_control_plane,50000,200000,200000,1,15.0,2,0.0,2592.545193,2592.298353,121.038399,True,
50000,4,sparse-aggregate,synthetic_control_plane,50000,200000,200000,1,15.0,2,0.0,2372.342413,2372.097103,121.038399,True,
50000,5,sparse-aggregate,synthetic_control_plane,50000,200000,200000,1,15.0,2,0.0,2202.648771,2202.48341,121.038635,True,
50000,6,sparse-aggregate,synthetic_control_plane,50000,200000,200000,1,15.0,2,0.0,2414.547081,2414.147093,121.038399,True,
