benchmark,run_id,step,time_s,policy,latency_ms,p95_ms,active_edge_count,request_mix_entropy,gda_total_time_ms
online-boutique,online-boutique-longmix-stageB-scale45-replica5-sinusoidal-steps500-20260612T140712Z,19,19.000,kubernetes-default,87.024722,87.024722,7,1.597931,0.008136
online-boutique,online-boutique-longmix-stageB-scale45-replica5-sinusoidal-steps500-20260612T140712Z,19,19.000,cga,77.357530,77.357530,7,1.597931,0.008136
online-boutique,online-boutique-longmix-stageB-scale45-replica5-sinusoidal-steps500-20260612T140712Z,19,19.000,hda,76.962893,76.962893,7,1.597931,0.008136
online-boutique,online-boutique-longmix-stageB-scale45-replica5-sinusoidal-steps500-20260612T140712Z,20,20.000,kubernetes-default,81.470363,81.470363,7,1.600426,0.008185
online-boutique,online-boutique-longmix-stageB-scale45-replica5-sinusoidal-steps500-20260612T140712Z,20,20.000,cga,81.889840,81.889840,7,1.600426,0.008185
online-boutique,online-boutique-longmix-stageB-scale45-replica5-sinusoidal-steps500-20260612T140712Z,20,20.000,hda,79.816149,79.816149,7,1.600426,0.008185
online-boutique,online-boutique-longmix-stageB-scale45-replica5-sinusoidal-steps500-20260612T140712Z,21,21.000,kubernetes-default,84.597361,84.597361,7,1.602991,0.011612
online-boutique,online-boutique-longmix-stageB-scale45-replica5-sinusoidal-steps500-20260612T140712Z,21,21.000,cga,80.670072,80.670072,7,1.602991,0.011612
online-boutique,online-boutique-longmix-stageB-scale45-replica5-sinusoidal-steps500-20260612T140712Z,21,21.000,hda,74.470915,74.470915,7,1.602991,0.011612
online-boutique,online-boutique-longmix-stageB-scale45-replica5-sinusoidal-steps500-20260612T140712Z,22,22.000,kubernetes-default,91.014474,91.014474,7,1.605629,0.008506
online-boutique,online-boutique-longmix-stageB-scale45-replica5-sinusoidal-steps500-20260612T140712Z,22,22.000,cga,78.527963,78.527963,7,1.605629,0.008506
online-boutique,online-boutique-longmix-stageB-scale45-replica5-sinusoidal-steps500-20260612T140712Z,22,22.000,hda,77.033469,77.033469,7,1.605629,0.008506
online-boutique,online-boutique-longmix-stageB-scale45-replica5-sinusoidal-steps500-20260612T140712Z,23,23.000,kubernetes-default,84.299857,84.299857,7,1.608338,0.008336
online-boutique,online-boutique-longmix-stageB-scale45-replica5-sinusoidal-steps500-20260612T140712Z,23,23.000,cga,83.059698,83.059698,7,1.608338,0.008336
online-boutique,online-boutique-longmix-stageB-scale45-replica5-sinusoidal-steps500-20260612T140712Z,23,23.000,hda,79.240416,79.240416,7,1.608338,0.008336
online-boutique,online-boutique-longmix-stageB-scale45-replica5-sinusoidal-steps500-20260612T140712Z,24,24.000,kubernetes-default,87.596455,87.596455,7,1.611120,0.011040
online-boutique,online-boutique-longmix-stageB-scale45-replica5-sinusoidal-steps500-20260612T140712Z,24,24.000,cga,78.977073,78.977073,7,1.611120,0.011040
online-boutique,online-boutique-longmix-stageB-scale45-replica5-sinusoidal-steps500-20260612T140712Z,24,24.000,hda,76.248906,76.248906,7,1.611120,0.011040
online-boutique,online-boutique-longmix-stageB-scale45-replica5-sinusoidal-steps500-20260612T140712Z,25,25.000,kubernetes-default,85.487112,85.487112,7,1.613975,0.008466
online-boutique,online-boutique-longmix-stageB-scale45-replica5-sinusoidal-steps500-20260612T140712Z,25,25.000,cga,77.811947,77.811947,7,1.613975,0.008466
online-boutique,online-boutique-longmix-stageB-scale45-replica5-sinusoidal-steps500-20260612T140712Z,25,25.000,hda,80.408036,80.408036,7,1.613975,0.008466
online-boutique,online-boutique-longmix-stageB-scale45-replica5-sinusoidal-steps500-20260612T140712Z,26,26.000,kubernetes-default,83.644668,83.644668,7,1.616903,0.008786
online-boutique,online-boutique-longmix-stageB-scale45-replica5-sinusoidal-steps500-20260612T140712Z,26,26.000,cga,77.150956,77.150956,7,1.616903,0.008786
online-boutique,online-boutique-longmix-stageB-scale45-replica5-sinusoidal-steps500-20260612T140712Z,26,26.000,hda,74.515181,74.515181,7,1.616903,0.008786
online-boutique,online-boutique-longmix-stageB-scale45-replica5-sinusoidal-steps500-20260612T140712Z,27,27.000,kubernetes-default,85.965081,85.965081,7,1.619906,0.012263
online-boutique,online-boutique-longmix-stageB-scale45-replica5-sinusoidal-steps500-20260612T140712Z,27,27.000,cga,84.890029,84.890029,7,1.619906,0.012263
online-boutique,online-boutique-longmix-stageB-scale45-replica5-sinusoidal-steps500-20260612T140712Z,27,27.000,hda,84.160695,84.160695,7,1.619906,0.012263
online-boutique,online-boutique-longmix-stageB-scale45-replica5-sinusoidal-steps500-20260612T140712Z,28,28.000,kubernetes-default,90.020137,90.020137,7,1.622984,0.024267
online-boutique,online-boutique-longmix-stageB-scale45-replica5-sinusoidal-steps500-20260612T140712Z,28,28.000,cga,83.564824,83.564824,7,1.622984,0.024267
online-boutique,online-boutique-longmix-stageB-scale45-replica5-sinusoidal-steps500-20260612T140712Z,28,28.000,hda,78.837360,78.837360,7,1.622984,0.024267
online-boutique,online-boutique-longmix-stageB-scale45-replica5-sinusoidal-steps500-20260612T140712Z,29,29.000,kubernetes-default,88.890730,88.890730,7,1.626136,0.008547
online-boutique,online-boutique-longmix-stageB-scale45-replica5-sinusoidal-steps500-20260612T140712Z,29,29.000,cga,78.199163,78.199163,7,1.626136,0.008547
online-boutique,online-boutique-longmix-stageB-scale45-replica5-sinusoidal-steps500-20260612T140712Z,29,29.000,hda,77.509415,77.509415,7,1.626136,0.008547
online-boutique,online-boutique-longmix-stageB-scale45-replica5-sinusoidal-steps500-20260612T140712Z,30,30.000,kubernetes-default,87.665304,87.665304,7,1.629364,0.008557
online-boutique,online-boutique-longmix-stageB-scale45-replica5-sinusoidal-steps500-20260612T140712Z,30,30.000,cga,79.187759,79.187759,7,1.629364,0.008557
online-boutique,online-boutique-longmix-stageB-scale45-replica5-sinusoidal-steps500-20260612T140712Z,30,30.000,hda,80.481711,80.481711,7,1.629364,0.008557
online-boutique,online-boutique-longmix-stageB-scale45-replica5-sinusoidal-steps500-20260612T140712Z,31,31.000,kubernetes-default,85.907927,85.907927,7,1.632668,0.008425
online-boutique,online-boutique-longmix-stageB-scale45-replica5-sinusoidal-steps500-20260612T140712Z,31,31.000,cga,82.969139,82.969139,7,1.632668,0.008425
online-boutique,online-boutique-longmix-stageB-scale45-replica5-sinusoidal-steps500-20260612T140712Z,31,31.000,hda,77.116023,77.116023,7,1.632668,0.008425
online-boutique,online-boutique-longmix-stageB-scale45-replica5-sinusoidal-steps500-20260612T140712Z,32,32.000,kubernetes-default,88.873423,88.873423,7,1.636048,0.008616
online-boutique,online-boutique-longmix-stageB-scale45-replica5-sinusoidal-steps500-20260612T140712Z,32,32.000,cga,79.434653,79.434653,7,1.636048,0.008616
online-boutique,online-boutique-longmix-stageB-scale45-replica5-sinusoidal-steps500-20260612T140712Z,32,32.000,hda,80.901222,80.901222,7,1.636048,0.008616
online-boutique,online-boutique-longmix-stageB-scale45-replica5-sinusoidal-steps500-20260612T140712Z,33,33.000,kubernetes-default,89.903927,89.903927,7,1.639505,0.008636
online-boutique,online-boutique-longmix-stageB-scale45-replica5-sinusoidal-steps500-20260612T140712Z,33,33.000,cga,82.587373,82.587373,7,1.639505,0.008636
online-boutique,online-boutique-longmix-stageB-scale45-replica5-sinusoidal-steps500-20260612T140712Z,33,33.000,hda,77.981387,77.981387,7,1.639505,0.008636
online-boutique,online-boutique-longmix-stageB-scale45-replica5-sinusoidal-steps500-20260612T140712Z,34,34.000,kubernetes-default,83.323874,83.323874,7,1.643038,0.011692
online-boutique,online-boutique-longmix-stageB-scale45-replica5-sinusoidal-steps500-20260612T140712Z,34,34.000,cga,80.056322,80.056322,7,1.643038,0.011692
online-boutique,online-boutique-longmix-stageB-scale45-replica5-sinusoidal-steps500-20260612T140712Z,34,34.000,hda,76.703293,76.703293,7,1.643038,0.011692
online-boutique,online-boutique-longmix-stageB-scale45-replica5-sinusoidal-steps500-20260612T140712Z,35,35.000,kubernetes-default,88.717596,88.717596,7,1.646649,0.008326
online-boutique,online-boutique-longmix-stageB-scale45-replica5-sinusoidal-steps500-20260612T140712Z,35,35.000,cga,84.522080,84.522080,7,1.646649,0.008326
online-boutique,online-boutique-longmix-stageB-scale45-replica5-sinusoidal-steps500-20260612T140712Z,35,35.000,hda,81.385498,81.385498,7,1.646649,0.008326
online-boutique,online-boutique-longmix-stageB-scale45-replica5-sinusoidal-steps500-20260612T140712Z,36,36.000,kubernetes-default,83.131409,83.131409,7,1.650337,0.008095
online-boutique,online-boutique-longmix-stageB-scale45-replica5-sinusoidal-steps500-20260612T140712Z,36,36.000,cga,80.446568,80.446568,7,1.650337,0.008095
online-boutique,online-boutique-longmix-stageB-scale45-replica5-sinusoidal-steps500-20260612T140712Z,36,36.000,hda,76.548244,76.548244,7,1.650337,0.008095
online-boutique,online-boutique-longmix-stageB-scale45-replica5-sinusoidal-steps500-20260612T140712Z,37,37.000,kubernetes-default,86.137248,86.137248,7,1.654103,0.008175
online-boutique,online-boutique-longmix-stageB-scale45-replica5-sinusoidal-steps500-20260612T140712Z,37,37.000,cga,82.353990,82.353990,7,1.654103,0.008175
online-boutique,online-boutique-longmix-stageB-scale45-replica5-sinusoidal-steps500-20260612T140712Z,37,37.000,hda,69.836073,69.836073,7,1.654103,0.008175
online-boutique,online-boutique-longmix-stageB-scale45-replica5-sinusoidal-steps500-20260612T140712Z,38,38.000,kubernetes-default,87.035040,87.035040,7,1.657947,0.011522
online-boutique,online-boutique-longmix-stageB-scale45-replica5-sinusoidal-steps500-20260612T140712Z,38,38.000,cga,82.946276,82.946276,7,1.657947,0.011522
online-boutique,online-boutique-longmix-stageB-scale45-replica5-sinusoidal-steps500-20260612T140712Z,38,38.000,hda,76.666771,76.666771,7,1.657947,0.011522
online-boutique,online-boutique-longmix-stageB-scale45-replica5-sinusoidal-steps500-20260612T140712Z,39,39.000,kubernetes-default,86.699640,86.699640,7,1.661869,0.008046
online-boutique,online-boutique-longmix-stageB-scale45-replica5-sinusoidal-steps500-20260612T140712Z,39,39.000,cga,80.933999,80.933999,7,1.661869,0.008046
online-boutique,online-boutique-longmix-stageB-scale45-replica5-sinusoidal-steps500-20260612T140712Z,39,39.000,hda,83.996560,83.996560,7,1.661869,0.008046
online-boutique,online-boutique-longmix-stageB-scale45-replica5-sinusoidal-steps500-20260612T140712Z,40,40.000,kubernetes-default,82.089582,82.089582,7,1.665870,0.011201
online-boutique,online-boutique-longmix-stageB-scale45-replica5-sinusoidal-steps500-20260612T140712Z,40,40.000,cga,79.262408,79.262408,7,1.665870,0.011201
online-boutique,online-boutique-longmix-stageB-scale45-replica5-sinusoidal-steps500-20260612T140712Z,40,40.000,hda,75.761382,75.761382,7,1.665870,0.011201
online-boutique,online-boutique-longmix-stageB-scale45-replica5-sinusoidal-steps500-20260612T140712Z,41,41.000,kubernetes-default,83.785806,83.785806,7,1.669949,0.008345
online-boutique,online-boutique-longmix-stageB-scale45-replica5-sinusoidal-steps500-20260612T140712Z,41,41.000,cga,80.170433,80.170433,7,1.669949,0.008345
online-boutique,online-boutique-longmix-stageB-scale45-replica5-sinusoidal-steps500-20260612T140712Z,41,41.000,hda,75.486398,75.486398,7,1.669949,0.008345
online-boutique,online-boutique-longmix-stageB-scale45-replica5-sinusoidal-steps500-20260612T140712Z,42,42.000,kubernetes-default,91.061290,91.061290,7,1.674106,0.008295
