NAMESPACE         NAME                                                       READY   STATUS    RESTARTS      AGE
kube-system       metrics-server-794bc45bd5-q2rrd                            1/1     Running   0             31h
monitoring        alertmanager-kube-prometheus-stack-alertmanager-0          2/2     Running   0             30h
monitoring        kube-prometheus-stack-grafana-8567bb5997-mwtjs             3/3     Running   0             30h
monitoring        kube-prometheus-stack-kube-state-metrics-b889559b9-n455c   1/1     Running   0             30h
monitoring        kube-prometheus-stack-operator-79bc6f4d7f-2h58h            1/1     Running   0             30h
monitoring        kube-prometheus-stack-prometheus-node-exporter-2jbp9       1/1     Running   0             30h
monitoring        kube-prometheus-stack-prometheus-node-exporter-2vjqj       1/1     Running   0             30h
monitoring        kube-prometheus-stack-prometheus-node-exporter-5jhd6       1/1     Running   0             30h
monitoring        kube-prometheus-stack-prometheus-node-exporter-8bpj9       1/1     Running   0             30h
monitoring        kube-prometheus-stack-prometheus-node-exporter-8t4tp       1/1     Running   0             30h
monitoring        kube-prometheus-stack-prometheus-node-exporter-8tpll       1/1     Running   0             30h
monitoring        kube-prometheus-stack-prometheus-node-exporter-9dntv       1/1     Running   0             30h
monitoring        kube-prometheus-stack-prometheus-node-exporter-9pbx9       1/1     Running   0             30h
monitoring        kube-prometheus-stack-prometheus-node-exporter-bpw69       1/1     Running   0             30h
monitoring        kube-prometheus-stack-prometheus-node-exporter-bvvww       1/1     Running   0             30h
monitoring        kube-prometheus-stack-prometheus-node-exporter-d2mfk       1/1     Running   0             30h
monitoring        kube-prometheus-stack-prometheus-node-exporter-dbw7c       1/1     Running   0             30h
monitoring        kube-prometheus-stack-prometheus-node-exporter-dc245       1/1     Running   0             30h
monitoring        kube-prometheus-stack-prometheus-node-exporter-dtdtv       1/1     Running   0             30h
monitoring        kube-prometheus-stack-prometheus-node-exporter-f7pcs       1/1     Running   0             30h
monitoring        kube-prometheus-stack-prometheus-node-exporter-ff9pv       1/1     Running   0             30h
monitoring        kube-prometheus-stack-prometheus-node-exporter-fn8tr       1/1     Running   0             30h
monitoring        kube-prometheus-stack-prometheus-node-exporter-g7pph       1/1     Running   0             30h
monitoring        kube-prometheus-stack-prometheus-node-exporter-h9hnr       1/1     Running   0             30h
monitoring        kube-prometheus-stack-prometheus-node-exporter-jlczd       1/1     Running   0             30h
monitoring        kube-prometheus-stack-prometheus-node-exporter-kkhs4       1/1     Running   0             30h
monitoring        kube-prometheus-stack-prometheus-node-exporter-llv9g       1/1     Running   0             30h
monitoring        kube-prometheus-stack-prometheus-node-exporter-mfjj9       1/1     Running   0             30h
monitoring        kube-prometheus-stack-prometheus-node-exporter-mh4s4       1/1     Running   0             30h
monitoring        kube-prometheus-stack-prometheus-node-exporter-mpj8d       1/1     Running   0             30h
monitoring        kube-prometheus-stack-prometheus-node-exporter-mr5kx       1/1     Running   0             30h
monitoring        kube-prometheus-stack-prometheus-node-exporter-nvl52       1/1     Running   0             30h
monitoring        kube-prometheus-stack-prometheus-node-exporter-pfwtb       1/1     Running   0             30h
monitoring        kube-prometheus-stack-prometheus-node-exporter-plz99       1/1     Running   0             30h
monitoring        kube-prometheus-stack-prometheus-node-exporter-ps89p       1/1     Running   0             30h
monitoring        kube-prometheus-stack-prometheus-node-exporter-q6xzp       1/1     Running   0             30h
monitoring        kube-prometheus-stack-prometheus-node-exporter-r646d       1/1     Running   0             30h
monitoring        kube-prometheus-stack-prometheus-node-exporter-r96rw       1/1     Running   0             30h
monitoring        kube-prometheus-stack-prometheus-node-exporter-rdzpd       1/1     Running   0             30h
monitoring        kube-prometheus-stack-prometheus-node-exporter-rmv8g       1/1     Running   0             30h
monitoring        kube-prometheus-stack-prometheus-node-exporter-ssc6v       1/1     Running   0             30h
monitoring        kube-prometheus-stack-prometheus-node-exporter-tg429       1/1     Running   0             30h
monitoring        kube-prometheus-stack-prometheus-node-exporter-v5d4w       1/1     Running   0             30h
monitoring        kube-prometheus-stack-prometheus-node-exporter-v5fw9       1/1     Running   0             30h
monitoring        kube-prometheus-stack-prometheus-node-exporter-vx5c7       1/1     Running   0             30h
monitoring        kube-prometheus-stack-prometheus-node-exporter-w7cwp       1/1     Running   0             30h
monitoring        kube-prometheus-stack-prometheus-node-exporter-wc547       1/1     Running   0             30h
monitoring        kube-prometheus-stack-prometheus-node-exporter-wllcn       1/1     Running   0             30h
monitoring        kube-prometheus-stack-prometheus-node-exporter-xvd9t       1/1     Running   0             30h
monitoring        kube-prometheus-stack-prometheus-node-exporter-xx25z       1/1     Running   0             30h
monitoring        kube-prometheus-stack-prometheus-node-exporter-zrj8m       1/1     Running   0             30h
monitoring        prometheus-kube-prometheus-stack-prometheus-0              2/2     Running   0             30h
tigera-operator   tigera-operator-85dbff4478-2kc6q                           1/1     Running   3 (13d ago)   27d

