NAMESPACE         NAME                                                       READY   STATUS    RESTARTS      AGE     IP                NODE             NOMINATED NODE   READINESS GATES
calico-system     calico-node-jzgbr                                          1/1     Running   0             23d     172.26.136.35     emu-worker-14    <none>           <none>
calico-system     calico-node-krjll                                          1/1     Running   0             23d     172.26.132.26     emu-worker-35    <none>           <none>
calico-system     calico-node-l7hgc                                          1/1     Running   0             25d     172.26.133.87     emu-worker-9     <none>           <none>
calico-system     calico-node-lm9td                                          1/1     Running   0             23d     172.26.135.30     emu-worker-23    <none>           <none>
calico-system     calico-node-mr5q8                                          1/1     Running   0             23d     172.26.131.55     emu-worker-19    <none>           <none>
calico-system     calico-node-nd9lf                                          1/1     Running   0             25d     172.26.133.155    emu-worker-4     <none>           <none>
calico-system     calico-node-nfkfz                                          1/1     Running   0             23d     172.26.129.126    emu-worker-36    <none>           <none>
calico-system     calico-node-nrzwk                                          1/1     Running   0             23d     172.26.133.183    emu-worker-17    <none>           <none>
calico-system     calico-node-pc7hd                                          1/1     Running   0             23d     172.26.133.81     emu-worker-45    <none>           <none>
calico-system     calico-node-q5c99                                          1/1     Running   0             25d     172.26.131.102    emu-worker-5     <none>           <none>
calico-system     calico-node-qkjkz                                          1/1     Running   0             23d     172.26.133.7      emu-worker-42    <none>           <none>
calico-system     calico-node-rtrr6                                          1/1     Running   0             23d     172.26.131.147    emu-worker-43    <none>           <none>
calico-system     calico-node-s4sm9                                          1/1     Running   0             23d     172.26.132.81     emu-worker-44    <none>           <none>
calico-system     calico-node-sb8pz                                          1/1     Running   0             23d     172.26.131.39     emu-worker-22    <none>           <none>
calico-system     calico-node-x5xt6                                          1/1     Running   0             23d     172.26.131.252    emu-worker-24    <none>           <none>
calico-system     calico-node-xz6ll                                          1/1     Running   0             23d     172.26.135.221    emu-worker-32    <none>           <none>
calico-system     calico-node-z6zjt                                          1/1     Running   0             23d     172.26.129.74     emu-worker-37    <none>           <none>
calico-system     calico-typha-585497c48b-6457h                              1/1     Running   0             30d     172.26.132.239    emu-worker-1     <none>           <none>
calico-system     calico-typha-585497c48b-rm5q7                              1/1     Running   0             30d     172.26.128.41     emu-worker-3     <none>           <none>
calico-system     calico-typha-585497c48b-vbn62                              1/1     Running   0             30d     172.26.130.216    k8s-emu-master   <none>           <none>
calico-system     csi-node-driver-2lv2h                                      2/2     Running   0             23d     192.168.75.193    emu-worker-23    <none>           <none>
calico-system     csi-node-driver-4rs76                                      2/2     Running   0             23d     192.168.146.193   emu-worker-13    <none>           <none>
calico-system     csi-node-driver-5bbrr                                      2/2     Running   0             30d     192.168.99.193    emu-worker-6     <none>           <none>
calico-system     csi-node-driver-629zg                                      2/2     Running   0             23d     192.168.179.65    emu-worker-21    <none>           <none>
calico-system     csi-node-driver-6ftkg                                      2/2     Running   0             23d     192.168.182.193   emu-worker-15    <none>           <none>
calico-system     csi-node-driver-b2d8j                                      2/2     Running   0             23d     192.168.17.129    emu-worker-36    <none>           <none>
calico-system     csi-node-driver-b6sjx                                      2/2     Running   0             23d     192.168.100.1     emu-worker-31    <none>           <none>
calico-system     csi-node-driver-b9n4v                                      2/2     Running   0             23d     192.168.178.129   emu-worker-44    <none>           <none>
calico-system     csi-node-driver-bhndh                                      2/2     Running   0             23d     192.168.26.1      emu-worker-26    <none>           <none>
calico-system     csi-node-driver-bjntx                                      2/2     Running   0             23d     192.168.184.193   emu-worker-28    <none>           <none>
calico-system     csi-node-driver-bnc9b                                      2/2     Running   0             23d     192.168.108.129   emu-worker-14    <none>           <none>
calico-system     csi-node-driver-bwpdj                                      2/2     Running   0             23d     192.168.0.129     emu-worker-11    <none>           <none>
calico-system     csi-node-driver-dkdtx                                      2/2     Running   0             23d     192.168.228.129   emu-worker-35    <none>           <none>
calico-system     csi-node-driver-dnxl2                                      2/2     Running   0             30d     192.168.71.65     emu-worker-9     <none>           <none>
calico-system     csi-node-driver-fwm9d                                      2/2     Running   0             23d     192.168.141.65    emu-worker-17    <none>           <none>
calico-system     csi-node-driver-gmjbq                                      2/2     Running   0             23d     192.168.73.1      emu-worker-42    <none>           <none>
calico-system     csi-node-driver-j8xb7                                      2/2     Running   0             30d     192.168.137.193   emu-worker-2     <none>           <none>
calico-system     csi-node-driver-j9lpj                                      2/2     Running   0             23d     192.168.111.65    emu-worker-19    <none>           <none>
calico-system     csi-node-driver-jftjc                                      2/2     Running   0             23d     192.168.50.65     emu-worker-41    <none>           <none>
calico-system     csi-node-driver-jj5zw                                      2/2     Running   0             30d     192.168.173.129   emu-worker-8     <none>           <none>
calico-system     csi-node-driver-k2hh9                                      2/2     Running   0             30d     192.168.222.1     emu-worker-7     <none>           <none>
calico-system     csi-node-driver-k5597                                      2/2     Running   0             23d     192.168.120.65    emu-worker-25    <none>           <none>
calico-system     csi-node-driver-k6fht                                      2/2     Running   0             23d     192.168.185.65    emu-worker-45    <none>           <none>
calico-system     csi-node-driver-k7bdz                                      2/2     Running   0             23d     192.168.55.129    emu-worker-24    <none>           <none>
calico-system     csi-node-driver-l47vh                                      2/2     Running   0             23d     192.168.239.129   emu-worker-39    <none>           <none>
calico-system     csi-node-driver-l9zcb                                      2/2     Running   0             23d     192.168.133.1     emu-worker-20    <none>           <none>
calico-system     csi-node-driver-mrpr5                                      2/2     Running   0             23d     192.168.138.193   emu-worker-30    <none>           <none>
calico-system     csi-node-driver-n4tkj                                      2/2     Running   0             23d     192.168.112.1     emu-worker-32    <none>           <none>
calico-system     csi-node-driver-n8tvq                                      2/2     Running   0             23d     192.168.179.129   emu-worker-12    <none>           <none>
calico-system     csi-node-driver-ngbfz                                      2/2     Running   0             23d     192.168.18.193    emu-worker-27    <none>           <none>
calico-system     csi-node-driver-nkh7z                                      2/2     Running   0             30d     192.168.237.129   emu-worker-5     <none>           <none>
calico-system     csi-node-driver-nsm6g                                      2/2     Running   0             23d     192.168.82.193    emu-worker-10    <none>           <none>
calico-system     csi-node-driver-p56zg                                      2/2     Running   0             23d     192.168.24.129    emu-worker-37    <none>           <none>
calico-system     csi-node-driver-phbdv                                      2/2     Running   0             23d     192.168.81.193    emu-worker-43    <none>           <none>
calico-system     csi-node-driver-qjq7d                                      2/2     Running   0             23d     192.168.201.65    emu-worker-40    <none>           <none>
calico-system     csi-node-driver-qscn9                                      2/2     Running   0             23d     192.168.67.1      emu-worker-33    <none>           <none>
calico-system     csi-node-driver-r6vzr                                      2/2     Running   0             30d     192.168.254.1     k8s-emu-master   <none>           <none>
calico-system     csi-node-driver-s9dnx                                      2/2     Running   0             30d     192.168.135.65    emu-worker-4     <none>           <none>
calico-system     csi-node-driver-sstnp                                      2/2     Running   0             23d     192.168.180.129   emu-worker-18    <none>           <none>
calico-system     csi-node-driver-tsfbm                                      2/2     Running   0             23d     192.168.3.1       emu-worker-29    <none>           <none>
calico-system     csi-node-driver-vg6j8                                      2/2     Running   0             23d     192.168.231.65    emu-worker-38    <none>           <none>
calico-system     csi-node-driver-wpz7w                                      2/2     Running   0             30d     192.168.42.65     emu-worker-3     <none>           <none>
calico-system     csi-node-driver-xrwkk                                      2/2     Running   0             23d     192.168.111.193   emu-worker-16    <none>           <none>
calico-system     csi-node-driver-z549f                                      2/2     Running   0             23d     192.168.137.129   emu-worker-22    <none>           <none>
calico-system     csi-node-driver-zkjmk                                      2/2     Running   0             30d     192.168.65.1      emu-worker-1     <none>           <none>
calico-system     csi-node-driver-zv5dz                                      2/2     Running   0             23d     192.168.193.193   emu-worker-34    <none>           <none>
calico-system     goldmane-6885dcb7d-m7zzn                                   1/1     Running   0             30d     192.168.254.7     k8s-emu-master   <none>           <none>
calico-system     whisker-77b6d69555-9r2rf                                   2/2     Running   0             30d     192.168.254.4     k8s-emu-master   <none>           <none>
istio-system      istio-ingressgateway-759b55b8c6-jh79k                      1/1     Running   0             25d     192.168.222.3     emu-worker-7     <none>           <none>
istio-system      istiod-5f8d694c87-pzcb2                                    1/1     Running   0             25d     192.168.237.132   emu-worker-5     <none>           <none>
istio-system      prometheus-84d94cc786-shmlj                                2/2     Running   0             4d9h    192.168.137.231   emu-worker-2     <none>           <none>
kube-system       coredns-589f44dc88-7l8dm                                   1/1     Running   0             30d     192.168.254.3     k8s-emu-master   <none>           <none>
kube-system       coredns-589f44dc88-w247v                                   1/1     Running   0             30d     192.168.254.6     k8s-emu-master   <none>           <none>
kube-system       etcd-k8s-emu-master                                        1/1     Running   0             30d     172.26.130.216    k8s-emu-master   <none>           <none>
kube-system       kube-apiserver-k8s-emu-master                              1/1     Running   0             30d     172.26.130.216    k8s-emu-master   <none>           <none>
kube-system       kube-controller-manager-k8s-emu-master                     1/1     Running   2 (17d ago)   30d     172.26.130.216    k8s-emu-master   <none>           <none>
kube-system       kube-proxy-25ft7                                           1/1     Running   0             23d     172.26.132.12     emu-worker-38    <none>           <none>
kube-system       kube-proxy-2tvs7                                           1/1     Running   0             23d     172.26.129.31     emu-worker-13    <none>           <none>
kube-system       kube-proxy-4c4nm                                           1/1     Running   0             23d     172.26.133.183    emu-worker-17    <none>           <none>
kube-system       kube-proxy-4d9ml                                           1/1     Running   0             30d     172.26.133.114    emu-worker-6     <none>           <none>
kube-system       kube-proxy-5pjg4                                           1/1     Running   0             23d     172.26.133.212    emu-worker-18    <none>           <none>
kube-system       kube-proxy-66vqx                                           1/1     Running   0             23d     172.26.133.7      emu-worker-42    <none>           <none>
kube-system       kube-proxy-672jc                                           1/1     Running   0             30d     172.26.130.216    k8s-emu-master   <none>           <none>
kube-system       kube-proxy-767tg                                           1/1     Running   0             23d     172.26.133.193    emu-worker-28    <none>           <none>
kube-system       kube-proxy-7jqlw                                           1/1     Running   0             23d     172.26.131.252    emu-worker-24    <none>           <none>
kube-system       kube-proxy-86bxl                                           1/1     Running   0             23d     172.26.129.170    emu-worker-39    <none>           <none>
kube-system       kube-proxy-8lk4j                                           1/1     Running   0             23d     172.26.136.4      emu-worker-21    <none>           <none>
kube-system       kube-proxy-8tjpt                                           1/1     Running   0             30d     172.26.133.87     emu-worker-9     <none>           <none>
kube-system       kube-proxy-944wb                                           1/1     Running   0             23d     172.26.129.74     emu-worker-37    <none>           <none>
kube-system       kube-proxy-9xw5m                                           1/1     Running   0             23d     172.26.131.55     emu-worker-19    <none>           <none>
kube-system       kube-proxy-b527n                                           1/1     Running   0             23d     172.26.131.113    emu-worker-40    <none>           <none>
kube-system       kube-proxy-cl4gb                                           1/1     Running   0             23d     172.26.134.93     emu-worker-12    <none>           <none>
kube-system       kube-proxy-fcvp2                                           1/1     Running   0             23d     172.26.135.168    emu-worker-41    <none>           <none>
kube-system       kube-proxy-fwbqj                                           1/1     Running   0             23d     172.26.129.126    emu-worker-36    <none>           <none>
kube-system       kube-proxy-gkpk9                                           1/1     Running   0             30d     172.26.131.70     emu-worker-2     <none>           <none>
kube-system       kube-proxy-gv2dr                                           1/1     Running   0             23d     172.26.133.70     emu-worker-11    <none>           <none>
kube-system       kube-proxy-h789s                                           1/1     Running   0             23d     172.26.131.166    emu-worker-16    <none>           <none>
kube-system       kube-proxy-hcpnp                                           1/1     Running   0             30d     172.26.133.155    emu-worker-4     <none>           <none>
kube-system       kube-proxy-j96xb                                           1/1     Running   0             23d     172.26.129.184    emu-worker-20    <none>           <none>
kube-system       kube-proxy-jwtc2                                           1/1     Running   0             30d     172.26.128.41     emu-worker-3     <none>           <none>
kube-system       kube-proxy-k4cns                                           1/1     Running   0             23d     172.26.134.196    emu-worker-10    <none>           <none>
kube-system       kube-proxy-kx5hj                                           1/1     Running   0             23d     172.26.130.136    emu-worker-33    <none>           <none>
kube-system       kube-proxy-lzj4n                                           1/1     Running   0             23d     172.26.132.224    emu-worker-27    <none>           <none>
kube-system       kube-proxy-m5crw                                           1/1     Running   0             23d     172.26.129.122    emu-worker-34    <none>           <none>
kube-system       kube-proxy-mrzxz                                           1/1     Running   0             23d     172.26.131.147    emu-worker-43    <none>           <none>
kube-system       kube-proxy-n4hvb                                           1/1     Running   0             23d     172.26.134.232    emu-worker-30    <none>           <none>
kube-system       kube-proxy-ngqhj                                           1/1     Running   0             30d     172.26.132.239    emu-worker-1     <none>           <none>
kube-system       kube-proxy-nsfr8                                           1/1     Running   0             23d     172.26.131.39     emu-worker-22    <none>           <none>
kube-system       kube-proxy-pwvzm                                           1/1     Running   0             23d     172.26.129.158    emu-worker-26    <none>           <none>
kube-system       kube-proxy-rhxqn                                           1/1     Running   0             23d     172.26.132.117    emu-worker-25    <none>           <none>
kube-system       kube-proxy-rjpmk                                           1/1     Running   0             23d     172.26.133.81     emu-worker-45    <none>           <none>
kube-system       kube-proxy-rxlhg                                           1/1     Running   0             30d     172.26.131.102    emu-worker-5     <none>           <none>
kube-system       kube-proxy-sscbw                                           1/1     Running   0             23d     172.26.129.233    emu-worker-31    <none>           <none>
kube-system       kube-proxy-ts4r7                                           1/1     Running   0             23d     172.26.135.221    emu-worker-32    <none>           <none>
kube-system       kube-proxy-v2np6                                           1/1     Running   0             30d     172.26.135.227    emu-worker-7     <none>           <none>
kube-system       kube-proxy-w78xp                                           1/1     Running   0             30d     172.26.135.182    emu-worker-8     <none>           <none>
kube-system       kube-proxy-wsz6g                                           1/1     Running   0             23d     172.26.135.30     emu-worker-23    <none>           <none>
kube-system       kube-proxy-wzxhs                                           1/1     Running   0             23d     172.26.132.26     emu-worker-35    <none>           <none>
kube-system       kube-proxy-x6dq2                                           1/1     Running   0             23d     172.26.136.1      emu-worker-29    <none>           <none>
kube-system       kube-proxy-xc9kz                                           1/1     Running   0             23d     172.26.128.138    emu-worker-15    <none>           <none>
kube-system       kube-proxy-z4mb4                                           1/1     Running   0             23d     172.26.132.81     emu-worker-44    <none>           <none>
kube-system       kube-proxy-zwlnl                                           1/1     Running   0             23d     172.26.136.35     emu-worker-14    <none>           <none>
kube-system       kube-scheduler-k8s-emu-master                              1/1     Running   3 (17d ago)   30d     172.26.130.216    k8s-emu-master   <none>           <none>
kube-system       metrics-server-794bc45bd5-q2rrd                            1/1     Running   0             4d19h   192.168.71.127    emu-worker-9     <none>           <none>
monitoring        alertmanager-kube-prometheus-stack-alertmanager-0          2/2     Running   0             4d18h   192.168.99.214    emu-worker-6     <none>           <none>
monitoring        kube-prometheus-stack-grafana-8567bb5997-mwtjs             3/3     Running   0             4d18h   192.168.222.29    emu-worker-7     <none>           <none>
monitoring        kube-prometheus-stack-kube-state-metrics-b889559b9-n455c   1/1     Running   0             4d18h   192.168.82.250    emu-worker-10    <none>           <none>
monitoring        kube-prometheus-stack-operator-79bc6f4d7f-2h58h            1/1     Running   0             4d18h   192.168.173.135   emu-worker-8     <none>           <none>
monitoring        kube-prometheus-stack-prometheus-node-exporter-2jbp9       1/1     Running   0             4d18h   172.26.129.74     emu-worker-37    <none>           <none>
monitoring        kube-prometheus-stack-prometheus-node-exporter-2vjqj       1/1     Running   0             4d18h   172.26.132.239    emu-worker-1     <none>           <none>
monitoring        kube-prometheus-stack-prometheus-node-exporter-5jhd6       1/1     Running   0             4d18h   172.26.129.122    emu-worker-34    <none>           <none>
monitoring        kube-prometheus-stack-prometheus-node-exporter-8bpj9       1/1     Running   0             4d18h   172.26.133.193    emu-worker-28    <none>           <none>
monitoring        kube-prometheus-stack-prometheus-node-exporter-8t4tp       1/1     Running   0             4d18h   172.26.131.39     emu-worker-22    <none>           <none>
monitoring        kube-prometheus-stack-prometheus-node-exporter-8tpll       1/1     Running   0             4d18h   172.26.132.12     emu-worker-38    <none>           <none>
monitoring        kube-prometheus-stack-prometheus-node-exporter-9dntv       1/1     Running   0             4d18h   172.26.132.117    emu-worker-25    <none>           <none>
monitoring        kube-prometheus-stack-prometheus-node-exporter-9pbx9       1/1     Running   0             4d18h   172.26.129.158    emu-worker-26    <none>           <none>
monitoring        kube-prometheus-stack-prometheus-node-exporter-bpw69       1/1     Running   0             4d18h   172.26.131.113    emu-worker-40    <none>           <none>
monitoring        kube-prometheus-stack-prometheus-node-exporter-bvvww       1/1     Running   0             4d18h   172.26.134.196    emu-worker-10    <none>           <none>
monitoring        kube-prometheus-stack-prometheus-node-exporter-d2mfk       1/1     Running   0             4d18h   172.26.133.7      emu-worker-42    <none>           <none>
monitoring        kube-prometheus-stack-prometheus-node-exporter-dbw7c       1/1     Running   0             4d18h   172.26.135.30     emu-worker-23    <none>           <none>
monitoring        kube-prometheus-stack-prometheus-node-exporter-dc245       1/1     Running   0             4d18h   172.26.131.55     emu-worker-19    <none>           <none>
monitoring        kube-prometheus-stack-prometheus-node-exporter-dtdtv       1/1     Running   0             4d18h   172.26.134.232    emu-worker-30    <none>           <none>
monitoring        kube-prometheus-stack-prometheus-node-exporter-f7pcs       1/1     Running   0             4d18h   172.26.129.31     emu-worker-13    <none>           <none>
monitoring        kube-prometheus-stack-prometheus-node-exporter-ff9pv       1/1     Running   0             4d18h   172.26.134.93     emu-worker-12    <none>           <none>
monitoring        kube-prometheus-stack-prometheus-node-exporter-fn8tr       1/1     Running   0             4d18h   172.26.129.170    emu-worker-39    <none>           <none>
monitoring        kube-prometheus-stack-prometheus-node-exporter-g7pph       1/1     Running   0             4d18h   172.26.136.1      emu-worker-29    <none>           <none>
monitoring        kube-prometheus-stack-prometheus-node-exporter-h9hnr       1/1     Running   0             4d18h   172.26.136.4      emu-worker-21    <none>           <none>
monitoring        kube-prometheus-stack-prometheus-node-exporter-jlczd       1/1     Running   0             4d18h   172.26.135.168    emu-worker-41    <none>           <none>
monitoring        kube-prometheus-stack-prometheus-node-exporter-kkhs4       1/1     Running   0             4d18h   172.26.129.184    emu-worker-20    <none>           <none>
monitoring        kube-prometheus-stack-prometheus-node-exporter-llv9g       1/1     Running   0             4d18h   172.26.133.183    emu-worker-17    <none>           <none>
monitoring        kube-prometheus-stack-prometheus-node-exporter-mfjj9       1/1     Running   0             4d18h   172.26.132.81     emu-worker-44    <none>           <none>
monitoring        kube-prometheus-stack-prometheus-node-exporter-mh4s4       1/1     Running   0             4d18h   172.26.133.212    emu-worker-18    <none>           <none>
monitoring        kube-prometheus-stack-prometheus-node-exporter-mpj8d       1/1     Running   0             4d18h   172.26.135.227    emu-worker-7     <none>           <none>
monitoring        kube-prometheus-stack-prometheus-node-exporter-mr5kx       1/1     Running   0             4d18h   172.26.131.252    emu-worker-24    <none>           <none>
monitoring        kube-prometheus-stack-prometheus-node-exporter-nvl52       1/1     Running   0             4d18h   172.26.133.87     emu-worker-9     <none>           <none>
monitoring        kube-prometheus-stack-prometheus-node-exporter-pfwtb       1/1     Running   0             4d18h   172.26.135.182    emu-worker-8     <none>           <none>
monitoring        kube-prometheus-stack-prometheus-node-exporter-plz99       1/1     Running   0             4d18h   172.26.130.136    emu-worker-33    <none>           <none>
monitoring        kube-prometheus-stack-prometheus-node-exporter-ps89p       1/1     Running   0             4d18h   172.26.130.216    k8s-emu-master   <none>           <none>
monitoring        kube-prometheus-stack-prometheus-node-exporter-q6xzp       1/1     Running   0             4d18h   172.26.132.26     emu-worker-35    <none>           <none>
monitoring        kube-prometheus-stack-prometheus-node-exporter-r646d       1/1     Running   0             4d18h   172.26.133.114    emu-worker-6     <none>           <none>
monitoring        kube-prometheus-stack-prometheus-node-exporter-r96rw       1/1     Running   0             4d18h   172.26.133.81     emu-worker-45    <none>           <none>
monitoring        kube-prometheus-stack-prometheus-node-exporter-rdzpd       1/1     Running   0             4d18h   172.26.136.35     emu-worker-14    <none>           <none>
monitoring        kube-prometheus-stack-prometheus-node-exporter-rmv8g       1/1     Running   0             4d18h   172.26.129.126    emu-worker-36    <none>           <none>
monitoring        kube-prometheus-stack-prometheus-node-exporter-ssc6v       1/1     Running   0             4d18h   172.26.131.166    emu-worker-16    <none>           <none>
monitoring        kube-prometheus-stack-prometheus-node-exporter-tg429       1/1     Running   0             4d18h   172.26.133.155    emu-worker-4     <none>           <none>
monitoring        kube-prometheus-stack-prometheus-node-exporter-v5d4w       1/1     Running   0             4d18h   172.26.132.224    emu-worker-27    <none>           <none>
monitoring        kube-prometheus-stack-prometheus-node-exporter-v5fw9       1/1     Running   0             4d18h   172.26.133.70     emu-worker-11    <none>           <none>
monitoring        kube-prometheus-stack-prometheus-node-exporter-vx5c7       1/1     Running   0             4d18h   172.26.131.70     emu-worker-2     <none>           <none>
monitoring        kube-prometheus-stack-prometheus-node-exporter-w7cwp       1/1     Running   0             4d18h   172.26.131.102    emu-worker-5     <none>           <none>
monitoring        kube-prometheus-stack-prometheus-node-exporter-wc547       1/1     Running   0             4d18h   172.26.129.233    emu-worker-31    <none>           <none>
monitoring        kube-prometheus-stack-prometheus-node-exporter-wllcn       1/1     Running   0             4d18h   172.26.135.221    emu-worker-32    <none>           <none>
monitoring        kube-prometheus-stack-prometheus-node-exporter-xvd9t       1/1     Running   0             4d18h   172.26.131.147    emu-worker-43    <none>           <none>
monitoring        kube-prometheus-stack-prometheus-node-exporter-xx25z       1/1     Running   0             4d18h   172.26.128.41     emu-worker-3     <none>           <none>
monitoring        kube-prometheus-stack-prometheus-node-exporter-zrj8m       1/1     Running   0             4d18h   172.26.128.138    emu-worker-15    <none>           <none>
monitoring        prometheus-kube-prometheus-stack-prometheus-0              2/2     Running   0             4d18h   192.168.71.66     emu-worker-9     <none>           <none>
tigera-operator   tigera-operator-85dbff4478-2kc6q                           1/1     Running   3 (17d ago)   30d     172.26.130.216    k8s-emu-master   <none>           <none>
