step,time_s,p_read_home,p_compose_post,p_read_user,qps_read_home,qps_compose_post,qps_read_user,traffic_stress,edge_jaccard_distance,weighted_edge_distance,hot_edge_rank_correlation,graph_change_rate_per_s,latency_ms,sla_ms,sla_pressure,sla_violation_ratio
18,90.000,0.501692,0.103351,0.394957,45.152288,9.301589,35.546122,0.875600,0.166667,0.105290,0.992982,0.02105791,98.220752,128.083609,0.766849,0.000000
19,95.000,0.478277,0.097275,0.424448,43.044888,8.754753,38.200359,0.839653,0.000000,0.067225,0.987879,0.01344505,94.740844,128.135486,0.739380,0.000000
20,100.000,0.452381,0.095238,0.452381,40.714286,8.571429,40.714286,0.804375,0.100000,0.086618,0.975758,0.01732362,97.061885,128.333333,0.756326,0.000000
21,105.000,0.424448,0.097275,0.478277,38.200359,8.754753,43.044888,0.725371,0.000000,0.105261,0.966667,0.02105228,97.204149,128.673767,0.755431,0.000000
22,110.000,0.394957,0.103351,0.501692,35.546122,9.301589,45.152288,0.680793,0.000000,0.070095,0.983333,0.01401900,89.867612,129.150961,0.695834,0.000000
23,115.000,0.364411,0.113362,0.522227,32.796990,10.202581,47.000429,0.691064,0.000000,0.061744,0.983333,0.01234880,93.692476,129.756751,0.722062,0.000000
24,120.000,0.333333,0.127137,0.539530,30.000000,11.442313,48.557687,0.692948,0.100000,0.092194,1.000000,0.01843885,97.280405,130.480771,0.745554,0.000000
25,125.000,0.302256,0.144440,0.553305,27.203010,12.999571,49.797419,0.705165,0.166667,0.123714,0.978947,0.02474275,91.369617,131.310634,0.695828,0.000000
26,130.000,0.271710,0.164975,0.563316,24.453878,14.847712,50.698411,0.688902,0.000000,0.064018,0.992982,0.01280368,95.106468,132.232140,0.719239,0.000000
27,135.000,0.242218,0.188390,0.569392,21.799641,16.955112,51.245247,0.592298,0.000000,0.137226,0.971930,0.02744512,92.733973,133.229522,0.696047,0.000000
28,140.000,0.214286,0.214286,0.571429,19.285714,19.285714,51.428571,0.625503,0.142857,0.146614,0.977925,0.02932278,94.219418,134.285714,0.701634,0.000000
29,145.000,0.188390,0.242218,0.569392,16.955112,21.799641,51.245247,0.564479,0.071429,0.125033,0.924945,0.02500668,94.340311,135.382646,0.696842,0.000000
30,150.000,0.164975,0.271710,0.563316,14.847712,24.453878,50.698411,0.570081,0.000000,0.066008,0.961326,0.01320157,97.249295,136.501547,0.712441,0.000000
31,155.000,0.144440,0.302256,0.553305,12.999571,27.203010,49.797419,0.619764,0.071429,0.139765,0.969095,0.02795309,99.358544,137.623273,0.721960,0.000000
32,160.000,0.127137,0.333333,0.539530,11.442313,30.000000,48.557687,0.562979,0.071429,0.096953,0.977925,0.01939057,93.308055,138.728632,0.672594,0.000000
33,165.000,0.113362,0.364411,0.522227,10.202581,32.796990,47.000429,0.625239,0.000000,0.124492,0.988950,0.02489843,106.234597,139.798710,0.759911,0.000000
34,170.000,0.103351,0.394957,0.501692,9.301589,35.546122,45.152288,0.669952,0.000000,0.092438,0.994475,0.01848750,105.712213,140.815198,0.750716,0.000000
35,175.000,0.097275,0.424448,0.478277,8.754753,38.200359,43.044888,0.664730,0.000000,0.059607,0.994475,0.01192146,106.809506,141.760703,0.753449,0.000000
36,180.000,0.095238,0.452381,0.452381,8.571429,40.714286,40.714286,0.646202,0.076923,0.074226,0.983425,0.01484530,105.732960,142.619048,0.741366,0.000000
37,185.000,0.097275,0.478277,0.424448,8.754753,43.044888,38.200359,0.633477,0.000000,0.048197,0.985915,0.00963938,100.949905,143.375546,0.704094,0.000000
38,190.000,0.103351,0.501692,0.394957,9.301589,45.152288,35.546122,0.654037,0.076923,0.090344,0.972376,0.01806871,108.905284,144.017253,0.756196,0.000000
39,195.000,0.113362,0.522227,0.364411,10.202581,47.000429,32.796990,0.688191,0.000000,0.075630,0.977901,0.01512609,109.137884,144.533189,0.755106,0.000000
40,200.000,0.127137,0.539530,0.333333,11.442313,48.557687,30.000000,0.728663,0.071429,0.099908,0.995585,0.01998154,111.664240,144.914528,0.770552,0.000000
41,205.000,0.144440,0.553305,0.302256,12.999571,49.797419,27.203010,0.770353,0.066667,0.096138,0.989247,0.01922768,110.187674,145.154743,0.759105,0.000000
42,210.000,0.164975,0.563316,0.271710,14.847712,50.698411,24.453878,0.801050,0.000000,0.070254,0.985663,0.01405085,115.951626,145.249724,0.798292,0.000000
43,215.000,0.188390,0.569392,0.242218,16.955112,51.245247,21.799641,0.817247,0.000000,0.055897,0.985663,0.01117947,113.632780,145.197848,0.782607,0.000000
44,220.000,0.214286,0.571429,0.214286,19.285714,51.428571,19.285714,0.869879,0.000000,0.081231,0.971326,0.01624626,118.612713,145.000000,0.818019,0.000000
45,225.000,0.242218,0.569392,0.188390,21.799641,51.245247,16.955112,0.847749,0.000000,0.054711,0.967742,0.01094220,115.890901,144.659567,0.801128,0.000000
46,230.000,0.271710,0.563316,0.164975,24.453878,50.698411,14.847712,0.877141,0.000000,0.054577,0.985663,0.01091531,116.673727,144.182373,0.809209,0.000000
47,235.000,0.302256,0.553305,0.144440,27.203010,49.797419,12.999571,0.985868,0.000000,0.112005,0.974910,0.02240091,120.520764,143.576583,0.839418,0.000000
