distinct_worker_nodes_used,errors,gda_build_time_ms,mean_latency_ms,migration_count,network_target_vs_measured_error,observed_cpu_memory_status,p50_latency_ms,p95_latency_ms,p99_latency_ms,placement,pod_count,policy,repetition,requests,rollout_ready_time_ms,scale,scheduler_decision_time_ms,sla_ms,sla_violation_rate,sla_violations,success,throughput_rps
1,0,,58.226660545915365,0,,unavailable: Kubernetes Metrics API was not available; see env/metrics_api_top_nodes.txt.err,59.094858122989535,114.53140596859157,140.77882887795568,policy1,8,policy1,3,90,5583.761848974973,scale30,0.0,150.0,0.0,0,90,127.73127282638505
1,0,,43.144771948249804,0,,unavailable: Kubernetes Metrics API was not available; see env/metrics_api_top_nodes.txt.err,28.324695071205497,88.44512491486967,92.81663899309933,policy1,8,policy1,4,90,3555.3509080782533,scale30,0.0,150.0,0.0,0,90,179.72464317930863
1,0,,29.154678356523316,0,,unavailable: Kubernetes Metrics API was not available; see env/metrics_api_top_nodes.txt.err,18.24643393047154,72.19385891221464,82.76692219078541,policy1,8,policy1,5,90,7437.35814304091,scale30,0.0,150.0,0.0,0,90,240.37343193385016
3,0,,44.975914707821275,0,,unavailable: Kubernetes Metrics API was not available; see env/metrics_api_top_nodes.txt.err,41.700928937643766,91.9500368181616,95.90100706554949,kubernetes,8,kubernetes,1,90,7467.377204913646,scale45,0.0,150.0,0.0,0,90,168.9368630869514
3,0,,65.49003659747541,0,,unavailable: Kubernetes Metrics API was not available; see env/metrics_api_top_nodes.txt.err,67.26164906285703,154.78974697180092,164.97576306574047,kubernetes,8,kubernetes,2,90,4083.5900290403515,scale45,0.0,150.0,0.05555555555555555,5,90,118.9718659110904
3,0,,80.24378060363233,0,,unavailable: Kubernetes Metrics API was not available; see env/metrics_api_top_nodes.txt.err,80.03162988461554,175.35640089772642,177.8271549846977,kubernetes,8,kubernetes,3,90,5493.043456925079,scale45,0.0,150.0,0.1111111111111111,10,90,98.11068794175245
2,8,,22.55386597102099,0,,unavailable: Kubernetes Metrics API was not available; see env/metrics_api_top_nodes.txt.err,16.582750948145986,39.83856085687876,41.67143302038312,kubernetes,8,kubernetes,4,90,4985.981082078069,scale45,0.0,150.0,0.0,0,82,26.948112119141186
4,5,,18.779735357555396,0,,unavailable: Kubernetes Metrics API was not available; see env/metrics_api_top_nodes.txt.err,14.379222178831697,31.99130203574896,33.1860720179975,kubernetes,8,kubernetes,5,90,4973.033535992727,scale45,0.0,150.0,0.0,0,85,27.70481892192968
1,0,,37.52679636494981,0,,unavailable: Kubernetes Metrics API was not available; see env/metrics_api_top_nodes.txt.err,22.698409156873822,85.44863085262477,86.49782789871097,policy1,8,policy1,1,90,4195.265191141516,scale45,0.0,150.0,0.0,0,90,193.46455744886742
1,0,,33.16085618506703,0,,unavailable: Kubernetes Metrics API was not available; see env/metrics_api_top_nodes.txt.err,22.961343871429563,73.3141468372196,78.32693820819259,policy1,8,policy1,2,90,3807.0366790052503,scale45,0.0,150.0,0.0,0,90,227.6290080502355
1,0,,64.66813112039947,0,,unavailable: Kubernetes Metrics API was not available; see env/metrics_api_top_nodes.txt.err,65.90359099209309,118.89169597998261,158.7253890465945,policy1,8,policy1,3,90,5085.750778904185,scale45,0.0,150.0,0.03333333333333333,3,90,119.71196726446915
1,0,,65.31355045994536,0,,unavailable: Kubernetes Metrics API was not available; see env/metrics_api_top_nodes.txt.err,65.52137015387416,117.06464597955346,164.28208397701383,policy1,8,policy1,4,90,6511.422293027863,scale45,0.0,150.0,0.022222222222222223,2,90,113.51933449890409
1,0,,131.2322617456731,0,,unavailable: Kubernetes Metrics API was not available; see env/metrics_api_top_nodes.txt.err,46.127264853566885,967.1407639980316,1021.7893079388887,policy1,8,policy1,5,90,5078.535624081269,scale45,0.0,150.0,0.08888888888888889,8,90,59.53410659739884
