step,time_s,p_single_expert,p_multi_expert_top2,p_multi_expert_top4,p_cache_hit,p_cache_miss,p_payload_small,p_payload_large,p_batch_small,p_batch_large,qps_single_expert,qps_multi_expert_top2,qps_multi_expert_top4,qps_cache_hit,qps_cache_miss,qps_payload_small,qps_payload_large,qps_batch_small,qps_batch_large,traffic_stress,edge_jaccard_distance,weighted_edge_distance,hot_edge_rank_correlation,graph_change_rate_per_s,request_mix_entropy,top3_hotspot_churn,active_edge_count,traffic_stress_gini,traffic_stress_skew,migration_count,policy_decision_time_ms,latency_ms,sla_ms,sla_pressure,sla_violation_ratio
58,5.800,0.456860,0.028771,0.028771,0.028771,0.165653,0.028771,0.028771,0.028771,0.204864,41.117365,2.589353,2.589353,2.589353,14.908761,2.589353,2.589353,2.589353,18.437755,0.979394,0.000000,0.056078,1.000000,0.56078273,2.298279,0.000000,10,0.370376,0.316639,,,88.155543,137.809366,0.639692,0.000000
59,5.900,0.453079,0.028723,0.028723,0.028723,0.167022,0.028723,0.028723,0.028723,0.207559,40.777109,2.585105,2.585105,2.585105,15.031955,2.585105,2.585105,2.585105,18.680307,0.922468,0.000000,0.055275,1.000000,0.55274898,2.302215,0.000000,10,0.369196,0.311539,,,88.031186,138.238566,0.636806,0.000000
60,6.000,0.449326,0.028677,0.028677,0.028677,0.168357,0.028677,0.028677,0.028677,0.210252,40.439358,2.580960,2.580960,2.580960,15.152170,2.580960,2.580960,2.580960,18.922714,0.899475,0.000000,0.021995,1.000000,0.21995250,2.306016,0.000000,10,0.368030,0.306374,,,85.145085,138.665970,0.614030,0.000000
61,6.100,0.445601,0.028632,0.028632,0.028632,0.169660,0.028632,0.028632,0.028632,0.212945,40.104083,2.576917,2.576917,2.576917,15.269402,2.576917,2.576917,2.576917,19.165012,0.920572,0.000000,0.025828,1.000000,0.25828039,2.309686,0.000000,10,0.366876,0.301145,,,82.158329,139.091626,0.590678,0.000000
62,6.200,0.441903,0.028589,0.028589,0.028589,0.170929,0.028589,0.028589,0.028589,0.215636,39.771252,2.572978,2.572978,2.572978,15.383650,2.572978,2.572978,2.572978,19.407233,0.967906,0.000000,0.051719,1.000000,0.51718872,2.313228,0.000000,10,0.365736,0.295853,,,88.835665,139.515583,0.636744,0.000000
63,6.300,0.438231,0.028546,0.028546,0.028546,0.172166,0.028546,0.028546,0.028546,0.218327,39.440834,2.569141,2.569141,2.569141,15.494910,2.569141,2.569141,2.569141,19.649410,0.882787,0.000000,0.085249,1.000000,0.85249294,2.316644,0.000000,10,0.364607,0.290497,,,88.820712,139.937890,0.634715,0.000000
64,6.400,0.434587,0.028505,0.028505,0.028505,0.173369,0.028505,0.028505,0.028505,0.221018,39.112798,2.565408,2.565408,2.565408,15.603179,2.565408,2.565408,2.565408,19.891578,0.942329,0.000000,0.065927,1.000000,0.65927332,2.319937,0.000000,10,0.363490,0.285080,,,87.083310,140.358594,0.620434,0.000000
65,6.500,0.430968,0.028464,0.028464,0.028464,0.174538,0.028464,0.028464,0.028464,0.223709,38.787112,2.561777,2.561777,2.561777,15.708456,2.561777,2.561777,2.561777,20.133768,0.902726,0.000000,0.039231,0.987879,0.39230790,2.323111,0.000000,10,0.362419,0.279602,,,82.940887,140.777744,0.589162,0.000000
66,6.600,0.427375,0.028425,0.028425,0.028425,0.175675,0.028425,0.028425,0.028425,0.226400,38.463745,2.558250,2.558250,2.558250,15.810739,2.558250,2.558250,2.558250,20.376014,0.943392,0.000000,0.045875,1.000000,0.45875170,2.326167,0.000000,10,0.361380,0.274063,,,86.180116,141.195391,0.610361,0.000000
67,6.700,0.423807,0.028387,0.028387,0.028387,0.176778,0.028387,0.028387,0.028387,0.229093,38.142664,2.554827,2.554827,2.554827,15.910025,2.554827,2.554827,2.554827,20.618350,0.891963,0.000000,0.051786,1.000000,0.51786201,2.329107,0.000000,10,0.360351,0.268464,,,89.815547,141.611581,0.634239,0.000000
