mode,step,p_read_home,p_compose_post,p_read_user
linear,28,0.26844267134006305,0.28415287642649845,0.4474044522334385
linear,29,0.2591325102612145,0.2744289712685991,0.46643851847018625
linear,30,0.2497555932919632,0.2638782513500032,0.4863661553580337
linear,31,0.24025868640868395,0.2525285311729832,0.5072127824183328
linear,32,0.23058815384248332,0.24041549322476075,0.5289963529327559
linear,33,0.2206902745444456,0.22758403909444044,0.5517256863611141
linear,34,0.21051168980762439,0.21408969138486894,0.5753986188075068
linear,35,0.19999999999999996,0.20000000000000004,0.6
sinusoidal,0,0.3333333333333333,0.539529858043914,0.12713680862275273
sinusoidal,1,0.37467813753974527,0.5157248674092805,0.10959699505097421
sinusoidal,2,0.4147667007918258,0.48637800230631884,0.09885529690185524
sinusoidal,3,0.45238095238095233,0.45238095238095244,0.09523809523809522
sinusoidal,4,0.48637800230631895,0.414766700791826,0.0988552969018552
sinusoidal,5,0.5157248674092804,0.3746781375397454,0.10959699505097413
sinusoidal,6,0.539529858043914,0.33333333333333337,0.1271368086227526
sinusoidal,7,0.5570696716156925,0.2919885291269214,0.15094179925738604
sinusoidal,8,0.5678113697648114,0.25189996587484087,0.18028866436034768
sinusoidal,9,0.5714285714285715,0.21428571428571436,0.2142857142857142
sinusoidal,10,0.5678113697648115,0.1802886643603478,0.25189996587484065
sinusoidal,11,0.5570696716156925,0.1509417992573862,0.2919885291269212
sinusoidal,12,0.539529858043914,0.12713680862275273,0.33333333333333326
sinusoidal,13,0.5157248674092805,0.10959699505097419,0.37467813753974527
sinusoidal,14,0.48637800230631895,0.09885529690185522,0.41476670079182576
sinusoidal,15,0.45238095238095255,0.09523809523809523,0.4523809523809523
sinusoidal,16,0.414766700791826,0.0988552969018552,0.4863780023063187
sinusoidal,17,0.3746781375397453,0.10959699505097416,0.5157248674092805
sinusoidal,18,0.3333333333333334,0.12713680862275262,0.539529858043914
sinusoidal,19,0.2919885291269214,0.15094179925738604,0.5570696716156924
sinusoidal,20,0.2518999658748408,0.18028866436034774,0.5678113697648115
sinusoidal,21,0.21428571428571422,0.21428571428571433,0.5714285714285714
sinusoidal,22,0.18028866436034788,0.25189996587484065,0.5678113697648115
sinusoidal,23,0.15094179925738618,0.2919885291269213,0.5570696716156924
sinusoidal,24,0.12713680862275273,0.33333333333333326,0.5395298580439141
sinusoidal,25,0.1095969950509742,0.3746781375397453,0.5157248674092805
sinusoidal,26,0.09885529690185522,0.41476670079182576,0.48637800230631895
sinusoidal,27,0.09523809523809525,0.4523809523809524,0.4523809523809525
sinusoidal,28,0.09885529690185522,0.48637800230631884,0.414766700791826
sinusoidal,29,0.10959699505097419,0.5157248674092805,0.3746781375397453
sinusoidal,30,0.12713680862275262,0.5395298580439138,0.3333333333333335
sinusoidal,31,0.15094179925738613,0.5570696716156924,0.2919885291269214
sinusoidal,32,0.18028866436034768,0.5678113697648114,0.2518999658748409
sinusoidal,33,0.2142857142857143,0.5714285714285713,0.2142857142857144
sinusoidal,34,0.2518999658748407,0.5678113697648113,0.18028866436034793
sinusoidal,35,0.2919885291269213,0.5570696716156924,0.15094179925738638
markov,0,0.76,0.12,0.12
markov,1,0.76,0.12,0.12
markov,2,0.76,0.12,0.12
markov,3,0.76,0.12,0.12
markov,4,0.76,0.12,0.12
markov,5,0.76,0.12,0.12
markov,6,0.12,0.12,0.76
markov,7,0.76,0.12,0.12
markov,8,0.12,0.12,0.76
markov,9,0.12,0.12,0.76
markov,10,0.12,0.12,0.76
markov,11,0.12,0.12,0.76
markov,12,0.76,0.12,0.12
markov,13,0.76,0.12,0.12
markov,14,0.76,0.12,0.12
markov,15,0.76,0.12,0.12
markov,16,0.12,0.76,0.12
markov,17,0.12,0.76,0.12
markov,18,0.12,0.76,0.12
markov,19,0.76,0.12,0.12
markov,20,0.76,0.12,0.12
markov,21,0.76,0.12,0.12
markov,22,0.76,0.12,0.12
markov,23,0.76,0.12,0.12
markov,24,0.76,0.12,0.12
markov,25,0.12,0.76,0.12
markov,26,0.12,0.12,0.76
markov,27,0.12,0.12,0.76
markov,28,0.12,0.12,0.76
markov,29,0.12,0.12,0.76
markov,30,0.12,0.76,0.12
markov,31,0.12,0.76,0.12
markov,32,0.12,0.12,0.76
markov,33,0.12,0.12,0.76
markov,34,0.12,0.12,0.76
markov,35,0.12,0.12,0.76
