ts,worker,path,method,status,latency_ms,bytes,error
2026-06-16T02:37:16.380778+00:00,2,/product/2ZYFJ3GM2N,GET,200,295.1793121173978,7952,
2026-06-16T02:37:16.381059+00:00,6,/,GET,200,628.8649030029774,10499,
2026-06-16T02:37:16.381537+00:00,5,/,GET,200,628.9790379814804,10499,
2026-06-16T02:37:16.382479+00:00,4,/product/2ZYFJ3GM2N,GET,200,297.581828199327,7954,
2026-06-16T02:37:16.386291+00:00,7,/,GET,200,325.8355441503227,10499,
2026-06-16T02:37:16.463850+00:00,1,/,GET,200,378.6861109547317,10499,
2026-06-16T02:37:16.487208+00:00,3,/,GET,200,108.42339973896742,10499,
2026-06-16T02:37:16.491291+00:00,2,/product/0PUK6V6EV0,GET,200,110.4892399162054,7976,
2026-06-16T02:37:16.491737+00:00,4,/product/2ZYFJ3GM2N,GET,200,109.21860719099641,8008,
2026-06-16T02:37:16.493788+00:00,0,/product/2ZYFJ3GM2N,GET,200,114.5825800485909,7982,
2026-06-16T02:37:16.495014+00:00,5,/product/2ZYFJ3GM2N,GET,200,113.44697093591094,7976,
2026-06-16T02:37:16.495499+00:00,7,/product/2ZYFJ3GM2N,GET,200,109.17739989235997,7978,
2026-06-16T02:37:16.495992+00:00,1,/product/0PUK6V6EV0,GET,200,32.069813925772905,7984,
2026-06-16T02:37:16.497162+00:00,6,/product/2ZYFJ3GM2N,GET,200,116.02099984884262,7966,
2026-06-16T02:37:16.571022+00:00,4,/cart,GET,200,79.25239624455571,6863,
2026-06-16T02:37:16.589378+00:00,6,/product/2ZYFJ3GM2N,GET,200,92.16392505913973,7962,
2026-06-16T02:37:16.589748+00:00,5,/product/2ZYFJ3GM2N,GET,200,94.69495201483369,7964,
2026-06-16T02:37:16.591595+00:00,7,/product/0PUK6V6EV0,GET,200,96.08120284974575,7920,
2026-06-16T02:37:16.592766+00:00,3,/,GET,200,105.51351914182305,10499,
2026-06-16T02:37:16.658262+00:00,1,/,GET,200,162.26431215181947,10499,
2026-06-16T02:37:16.658715+00:00,2,/,GET,200,167.3765699379146,10499,
2026-06-16T02:37:16.659375+00:00,0,/,GET,200,165.55690206587315,10499,
